CalcDate,Code,prev_close,open_price,high_price,low_price,volume,close_price,amount,vwap,turnover
2020-10-29,689009.SH,18.94,33.0,49.8,33.0,40954922.0,38.5,1584100687.0,38.679128408546354,0.7102320783766133
2020-10-30,689009.SH,38.5,40.02,51.56,40.02,33600551.0,47.6,1515930836.0,45.11624931388774,0.5826940452072986
2020-11-02,689009.SH,47.6,50.2,56.78,48.81,27193402.0,56.77,1428223165.0,52.52094478653314,0.471582546795981
2020-11-03,689009.SH,56.77,56.5,59.55,53.36,25121445.0,57.39,1409432109.0,56.104738760051426,0.4356510822844145
2020-11-04,689009.SH,57.39,57.45,57.8,51.9,20846450.0,54.4,1138491187.0,54.613192509995706,0.36151497273695576
2020-11-05,689009.SH,54.4,55.95,65.28,54.6,28843507.0,61.0,1764146580.0,61.162693565661066,0.5001983381699614
2020-11-06,689009.SH,61.0,59.8,68.6,59.48,23162768.0,68.6,1462900126.0,63.15739664620394,0.40168409691014206
2020-11-09,689009.SH,68.6,70.5,71.68,63.5,22494134.0,68.04,1517927746.0,67.48104843689471,0.3900887796124246
2020-11-10,689009.SH,68.04,68.0,70.7,65.11,15952778.0,67.93,1089580074.0,68.30033452480815,0.27664989020906233
2020-11-11,689009.SH,67.93,65.8,65.91,55.7,23125126.0,56.0,1384453512.0,59.8679337790419,0.4010313168634788
2020-11-12,689009.SH,56.0,56.0,61.66,55.04,18607788.0,58.89,1097892199.0,59.001757704892164,0.32269254340739323
2020-11-13,689009.SH,58.89,58.08,63.88,55.5,14904776.0,61.18,909337229.0,61.009788338986105,0.2584756488174453
2020-11-16,689009.SH,61.18,62.18,73.42,62.18,17134827.0,73.42,1201681738.0,70.13095247474632,0.297148747904677
2020-11-17,689009.SH,73.42,76.0,80.2,72.5,15369529.0,77.0,1181806487.0,76.89282391152,0.2665353025294403
2020-11-18,689009.SH,77.0,77.5,83.75,72.89,15567600.0,75.3,1209404470.0,77.68727806469848,0.2699702102554551
2020-11-19,689009.SH,75.3,74.86,77.89,69.7,11040312.0,73.66,815417743.0,73.85821551057614,0.19145888588644522
2020-11-20,689009.SH,73.66,74.62,88.39,74.62,17377459.0,86.65,1428266356.0,82.19074814102568,0.30135642359358866
2020-11-23,689009.SH,86.65,84.5,86.0,79.0,13592701.0,83.4,1112475859.0,81.84362026355174,0.23572190619681485
2020-11-24,689009.SH,83.4,85.0,88.25,81.14,10848149.0,84.57,924366918.0,85.20964433655917,0.18812643351656677
2020-11-25,689009.SH,84.57,83.9,87.84,80.0,10529157.0,80.6,870656996.0,82.69009532292091,0.18259453795721226
2020-11-26,689009.SH,80.6,78.99,81.0,72.01,10992748.0,76.52,831697575.0,75.65875020513523,0.1906340404972657
2020-11-27,689009.SH,76.52,75.1,77.3,70.68,8653123.0,70.99,632420305.0,73.08578706208152,0.15006073098462927
2020-11-30,689009.SH,70.99,72.6,74.66,66.0,12312721.0,71.35,865675385.0,70.30739874638596,0.21352474865661744
2020-12-01,689009.SH,71.35,69.94,73.35,69.0,8470466.0,72.8,607088603.0,71.67121655408333,0.14689312976834476
2020-12-02,689009.SH,72.8,72.18,73.74,67.58,9188218.0,69.0,641935191.0,69.86503705070994,0.15934024161289842
2020-12-03,689009.SH,69.0,67.7,67.7,63.75,10251224.0,64.1,667586966.0,65.12265910880495,0.1777746793761253
2020-12-04,689009.SH,64.1,64.5,68.63,64.36,9718032.0,67.06,650623911.0,66.9501717014309,0.16852817019381544
2020-12-07,689009.SH,67.06,68.0,72.2,63.89,10317870.0,71.3,702914507.0,68.12593170877322,0.17893044099851313
2020-12-08,689009.SH,71.3,70.4,74.85,69.34,7561658.0,70.5,545328505.0,72.11758386851137,0.13113276292683806
2020-12-09,689009.SH,70.5,71.5,72.58,68.63,5033283.0,68.75,353457776.0,70.22410144631247,0.08728618860872633
2020-12-10,689009.SH,68.75,69.49,69.52,64.6,5843817.0,65.32,390050476.0,66.74584026159614,0.10134230736814942
2020-12-11,689009.SH,65.32,65.5,69.5,64.1,6672375.999999999,67.85,449715655.0,67.399627209258,0.11571101207787021
2020-12-14,689009.SH,67.85,68.45,70.1,65.2,5842555.0,69.95,394611086.0,67.54084231984123,0.10132042201617851
