factor,mean,min,max,std
Factor level0/fundamental/earning/cfo_sales_ttm,3522.525773,2029,5363,1040.110687
Factor level0/fundamental/growth/sales_qoq,3523.686303,2029,5373,1042.201196
Factor level0/fundamental/earning/dedt_sales_ttm,3524.054492,2029,5377,1042.868885
Factor level0/fundamental/earning/net_margin_ttm,3524.125184,2029,5377,1042.881596
Factor level0/fundamental/earning/oper_margin_ttm,3524.125184,2029,5377,1042.881596
Factor level0/fundamental/growth/assetsturn_yoy,3509.764359,2031,5330,1024.896647
Factor level0/fundamental/growth/sales_yoy,3512.568483,2032,5335,1026.382543
Factor level0/fundamental/growth/tax_yoy_zscore,3517.357879,2032,5358,1037.107031
Factor level0/fundamental/growth/roe_rank_delta,3495.675994,2033,5334,1024.701521
Factor level0/fundamental/growth/assetsturn_ttm_yoy,3511.200295,2033,5331,1025.353028
Factor level0/fundamental/growth/eps_acce,3517.007364,2033,5359,1037.571423
Factor level0/fundamental/growth/sales_ttm_yoy,3513.104566,2034,5336,1025.959411
Factor level0/fundamental/growth/dedt_equ_yoy,3518.207658,2035,5340,1035.557533
Factor level0/fundamental/earning/cfo_ta_zscore,3521.054492,2035,5362,1035.364812
Factor level0/fundamental/earning/net_cfo_ratio,3523.518409,2035,5363,1039.393505
Factor level0/fundamental/earning/sue_sales,3524.503682,2035,5373,1041.75805
Factor level0/fundamental/earning/sue_sales_reg,3524.503682,2035,5373,1041.75805
Factor level0/fundamental/growth/sales_acce,3505.378498,2036,5295,1013.546171
Factor level0/fundamental/growth/cfo_rank_delta,3506.95729,2036,5279,1011.533224
Factor level0/fundamental/growth/cfo_yoy,3508.207658,2036,5285,1013.981746
Factor level0/fundamental/growth/cfo_ttm_yoy,3508.587629,2036,5286,1014.59975
Factor level0/fundamental/growth/dedt_equ_ttm_yoy,3519.188513,2036,5340,1036.515673
Factor level0/fundamental/earning/roa_zscore,3524.608247,2036,5364,1041.17224
Factor level0/fundamental/earning/roe_zscore,3524.608247,2036,5364,1041.17224
Factor level0/fundamental/growth/sales_accv,3506.225331,2037,5296,1012.818877
Factor level0/fundamental/growth/roe_yoy,3512.324006,2037,5334,1024.105655
Factor level0/fundamental/growth/roa_yoy,3512.335788,2037,5334,1024.122489
Factor level0/fundamental/earning/cfo_ta_qtr,3523.318115,2037,5363,1039.117633
Factor level0/fundamental/quality/assetsturn_qtr,3524.633284,2037,5368,1041.607471
Factor level0/fundamental/earning/roe_qtr,3524.879234,2037,5369,1041.92586
Factor level0/fundamental/earning/roa_qtr,3524.905744,2037,5369,1041.892076
Factor level0/fundamental/earning/npro_tp_qtr,3525.371134,2037,5377,1042.126767
Factor level0/fundamental/earning/oper_total_qtr,3525.371134,2037,5377,1042.126767
Factor level0/fundamental/growth/npro_acce,3507.790869,2038,5299,1013.129218
Factor level0/fundamental/growth/npro_accv,3507.790869,2038,5299,1013.129218
Factor level0/fundamental/growth/roe_accv,3509.509573,2038,5309,1018.402416
Factor level0/fundamental/growth/roe_acce,3510.584683,2038,5309,1018.561908
Factor level0/fundamental/growth/roe_ttm_yoy,3513.285714,2038,5334,1025.063289
Factor level0/fundamental/growth/roa_ttm_yoy,3513.294551,2038,5334,1025.075975
Factor level0/fundamental/growth/sales_rank_delta,3514.223859,2038,5336,1025.47121
Factor level0/fundamental/growth/npro_yoy,3514.992636,2038,5339,1025.652165
Factor level0/fundamental/growth/npro_ttm_yoy,3515.054492,2038,5339,1025.824735
Factor level0/fundamental/growth/npro_rank_delta,3515.478645,2038,5339,1025.864601
Factor level0/fundamental/growth/eps_accv,3520.281296,2038,5365,1038.631403
Factor level0/fundamental/growth/equ_yoy,3520.521355,2038,5340,1035.851739
Factor level0/fundamental/growth/liab_yoy,3520.521355,2038,5340,1035.851739
Factor level0/fundamental/growth/ta_yoy,3520.521355,2038,5340,1035.851739
Factor level0/fundamental/growth/cfo_qoq,3521.138439,2038,5361,1034.81923
Factor level0/fundamental/growth/cfo_gro5y,3521.527246,2038,5362,1035.382961
Factor level0/fundamental/growth/cfo_trend,3521.527246,2038,5362,1035.382961
Factor level0/fundamental/growth/cfo_yoy_zscore,3521.527246,2038,5362,1035.382961
Factor level0/fundamental/growth/sales_gro5y,3523.493373,2038,5374,1042.2886
Factor level0/fundamental/earning/cfo_ta_ttm,3523.645066,2038,5363,1039.224421
Factor level0/fundamental/growth/eps_rank_delta,3524.430044,2038,5365,1040.634285
Factor level0/fundamental/growth/liab_qoq,3524.584683,2038,5364,1041.100046
Factor level0/fundamental/growth/equ_qoq,3524.594993,2038,5364,1041.079627
Factor level0/fundamental/growth/ta_qoq,3524.599411,2038,5364,1041.085721
Factor level0/fundamental/growth/liab_gro5y,3524.829161,2038,5364,1041.184806
Factor level0/fundamental/growth/roe_yoy_zscore,3524.870398,2038,5364,1041.013875
Factor level0/fundamental/growth/equ_gro5y,3524.92489,2038,5364,1041.345075
Factor level0/fundamental/growth/ta_gro5y,3524.946981,2038,5364,1041.331085
Factor level0/fundamental/quality/assetsturn_ttm,3525,2038,5369,1041.738479
Factor level0/fundamental/growth/sales_yoy_zscore,3525.019146,2038,5374,1041.339062
Factor level0/fundamental/growth/npro_gro5y,3525.120766,2038,5374,1041.490349
Factor level0/fundamental/growth/npro_qoq,3525.122239,2038,5374,1041.527711
Factor level0/fundamental/earning/sue_op,3525.170839,2038,5374,1041.543296
Factor level0/fundamental/earning/sue_op_reg,3525.170839,2038,5374,1041.543296
Factor level0/fundamental/earning/sue_tp,3525.170839,2038,5374,1041.543296
Factor level0/fundamental/earning/sue_tp_reg,3525.170839,2038,5374,1041.543296
Factor level0/fundamental/earning/sue_npro,3525.172312,2038,5374,1041.545883
Factor level0/fundamental/earning/sue_npro_reg,3525.172312,2038,5374,1041.545883
Factor level0/fundamental/growth/npro_trend,3525.172312,2038,5374,1041.545883
Factor level0/fundamental/growth/npro_yoy_zscore,3525.172312,2038,5374,1041.545883
Factor level0/fundamental/earning/roa_ttm,3525.173785,2038,5369,1041.917553
Factor level0/fundamental/earning/roe_ttm,3525.173785,2038,5369,1041.917553
Factor level0/fundamental/earning/dedt_equ_ttm,3525.206186,2038,5369,1042.014906
Factor level0/fundamental/earning/dedt_ta_ttm,3525.206186,2038,5369,1042.014906
Factor level0/fundamental/earning/npro_tp_ttm,3525.42268,2038,5377,1042.041938
Factor level0/high_frequency/hf_volatility/inday_maxdd,3458.733432,2039,5117,992.493648
Factor level0/high_frequency/hf_volatility/inday_std_5min,3465.546392,2039,5116,985.4558536
Factor level0/high_frequency/hf_momentum/inday_high_time,3465.701031,2039,5117,985.7130734
Factor level0/high_frequency/hf_volatility/inday_std_1min,3465.701031,2039,5117,985.7130734
Factor level0/fundamental/growth/dedt_acce,3524.852725,2039,5365,1040.683008
Factor level0/fundamental/growth/dedt_accv,3524.852725,2039,5365,1040.683008
Factor level0/fundamental/growth/dedt_ttm_yoy,3525.164948,2039,5365,1040.662243
Factor level0/fundamental/growth/dedt_yoy,3525.164948,2039,5365,1040.662243
Factor level0/fundamental/growth/dedt_rank_delta,3525.173785,2039,5365,1040.662395
Factor level0/fundamental/growth/dedt_qoq,3526.106038,2041,5377,1041.578549
Factor level0/fundamental/growth/dedt_yoy_zscore,3526.110457,2041,5377,1041.583886
Factor level0/fundamental/growth/eps_yoy_zscore,3526.129602,2041,5377,1041.594181
Factor level0/analyst/coverage/cov_inst_12m,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_inst_12m_anndt,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_inst_3m,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_inst_6m,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_report_12m,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_report_3m,3526.265096,2041,5377,1041.607439
Factor level0/analyst/coverage/cov_report_6m,3526.265096,2041,5377,1041.607439
Factor level0/fundamental/quality/liab_ta,3526.265096,2041,5377,1041.607439
