ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
300397.SZ,20250821,30316.0,1739.63,11679.0,4038.12,27106.2,8786.8,58867.0,11367.52,76213.33,14992.45,100592.6,12731.59,85401.07,13181.85,88479.4,10563.5,70897.4,-7805.6,-52480.94
300831.SZ,20250821,12600.0,574.6,3625.0,158.18,1000.0,2440.47,15418.0,2848.93,18031.0,5570.32,35224.0,5376.25,33972.01,4975.51,31471.0,5177.53,32734.99,-2572.43,-16310.02
301189.SZ,20250821,18424.0,2481.69,6653.0,2090.47,5620.0,9213.17,24820.54,5611.14,15145.37,9908.22,26782.0,10211.49,27710.6,7398.46,20108.88,11088.44,29888.45,648.98,1595.66
000852.SZ,20250821,22164.0,2748.42,38390.69,1859.0,26140.0,8885.29,124562.3,8301.33,116548.83,7923.79,111154.51,9105.58,127587.05,7182.16,100985.37,7473.74,104816.99,2962.19,40954.07
300112.SZ,20250821,9490.0,126.78,1299.0,0.0,0.0,1900.35,19487.0,1574.07,16126.0,2421.8,24804.0,2545.82,26084.0,2669.82,27348.0,2998.87,30728.0,-702.67,-7224.0
300424.SZ,20250821,18208.0,1457.71,8422.0,861.96,4990.0,3945.27,22852.0,5312.76,30788.58,7453.09,43201.06,7264.85,42099.44,7355.39,42644.0,6771.88,39241.04,401.52,2247.58
688193.SH,20250821,2254.0,0.0,0.0,0.0,0.0,234.54,453.48,157.88,304.57,1104.29,2137.47,1304.57,2524.17,2039.24,3946.28,1915.61,3708.49,209.21,398.75
600246.SH,20250821,11574.0,20073.51,190270.23,4454.18,42219.68,4119.99,39052.0,6656.27,63092.56,1936.14,18352.0,7695.31,72941.3,823.43,7805.0,8147.31,77225.69,-26913.81,-255107.23
300715.SZ,20250821,12565.0,0.0,0.0,392.82,3455.0,1298.21,11395.8,800.7,7018.0,2743.6,24083.8,2276.13,20004.0,3286.79,28926.0,3858.96,33928.6,-332.04,-2922.4
603169.SH,20250821,21864.0,0.0,0.0,1071.7,13631.0,4016.42,51146.0,3690.84,46958.2,7359.21,93716.0,7371.73,93863.35,11511.58,146562.75,10752.94,136972.2,-555.91,-7417.45
600017.SH,20250821,16345.0,242.54,7447.5,548.65,16795.0,1951.9,59867.59,1581.3,48506.0,4426.12,135655.73,4038.69,123771.5,5241.41,160650.09,5693.33,174548.41,2087.81,63749.91
300125.SZ,20250821,2012.0,0.0,0.0,297.05,4231.0,1392.53,19835.0,1471.51,20975.0,1579.15,22530.0,1623.27,23154.47,1194.54,17044.49,774.4,11049.02,-1439.18,-20568.55
002595.SZ,20250821,12474.0,3688.53,6178.0,813.26,1362.0,2733.63,4584.0,3417.75,5730.0,5313.55,8916.45,7074.06,11865.0,7067.58,11856.0,7498.22,12577.45,-3431.02,-5752.45
300926.SZ,20250821,13757.0,1655.46,5589.0,1236.87,4185.54,6121.22,20785.44,5568.88,18910.56,7421.73,25217.04,8237.49,27985.51,6351.51,21594.32,6506.67,22104.19,-3259.76,-11136.64
300938.SZ,20250821,16136.0,417.9,1723.2,1164.64,4792.4,3194.14,13191.0,3447.72,14251.54,5879.12,24280.96,4226.33,17452.25,5306.47,21920.38,5958.95,24619.35,-2700.17,-11204.88
301678.SZ,20250821,36648.0,3347.44,3890.0,9139.04,10617.3,20360.73,23586.36,26740.32,31010.59,39102.7,45346.01,33230.95,38521.29,25293.36,29340.75,18993.92,22013.94,-20062.46,-23430.4
