TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000001.SZ,20250815,13.42,10.98
000002.SZ,20250815,7.07,5.79
000004.SZ,20250815,9.22,8.34
000006.SZ,20250815,7.85,6.43
000007.SZ,20250815,8.01,6.55
000008.SZ,20250815,3.14,2.57
000009.SZ,20250815,9.83,8.05
000010.SZ,20250815,4.88,4.0
000011.SZ,20250815,11.33,9.27
000012.SZ,20250815,5.19,4.25
000014.SZ,20250815,15.9,13.01
000016.SZ,20250815,5.87,4.81
000017.SZ,20250815,7.04,5.76
000019.SZ,20250815,7.61,6.23
000020.SZ,20250815,15.26,12.48
000021.SZ,20250815,21.01,17.19
000025.SZ,20250815,19.22,15.72
000026.SZ,20250815,21.59,17.67
000027.SZ,20250815,7.35,6.01
000028.SZ,20250815,28.15,23.03
000029.SZ,20250815,24.42,19.98
000030.SZ,20250815,6.68,5.46
000031.SZ,20250815,3.38,2.76
000032.SZ,20250815,26.62,21.78
000034.SZ,20250815,45.65,37.35
000035.SZ,20250815,4.72,3.86
000036.SZ,20250815,4.48,3.66
000037.SZ,20250815,10.01,8.19
000039.SZ,20250815,8.8,7.2
000042.SZ,20250815,9.7,7.94
000045.SZ,20250815,12.42,10.16
000048.SZ,20250815,17.64,14.44
000049.SZ,20250815,25.67,21.01
000050.SZ,20250815,10.46,8.56
000055.SZ,20250815,4.57,3.74
000056.SZ,20250815,3.23,2.65
000058.SZ,20250815,9.94,8.14
000059.SZ,20250815,5.83,4.77
000060.SZ,20250815,5.43,4.45
000061.SZ,20250815,7.41,6.07
000062.SZ,20250815,28.93,23.67
000063.SZ,20250815,38.29,31.33
000065.SZ,20250815,13.29,10.87
000066.SZ,20250815,19.94,16.32
000068.SZ,20250815,4.04,3.3
000069.SZ,20250815,2.5,2.04
000070.SZ,20250815,12.09,9.89
000078.SZ,20250815,2.92,2.39
000088.SZ,20250815,5.01,4.1
000089.SZ,20250815,7.9,6.46
000090.SZ,20250815,3.95,3.23
000096.SZ,20250815,13.24,10.84
000099.SZ,20250815,25.14,20.57
000100.SZ,20250815,4.84,3.96
000151.SZ,20250815,14.03,11.48
000153.SZ,20250815,7.71,6.31
000155.SZ,20250815,11.18,9.14
000156.SZ,20250815,8.95,7.33
000157.SZ,20250815,8.16,6.68
000158.SZ,20250815,25.87,21.17
000159.SZ,20250815,6.31,5.17
000166.SZ,20250815,5.94,4.86
000301.SZ,20250815,9.49,7.77
000333.SZ,20250815,79.56,65.1
000338.SZ,20250815,17.12,14.0
000400.SZ,20250815,24.86,20.34
000401.SZ,20250815,5.43,4.45
000402.SZ,20250815,3.25,2.66
000403.SZ,20250815,19.72,16.14
000404.SZ,20250815,8.18,6.7
000407.SZ,20250815,3.86,3.16
000408.SZ,20250815,55.34,45.28
000409.SZ,20250815,14.03,11.48
000410.SZ,20250815,7.37,6.03
000411.SZ,20250815,12.32,10.08
000415.SZ,20250815,3.97,3.25
000417.SZ,20250815,6.84,5.6
000419.SZ,20250815,6.45,5.27
000420.SZ,20250815,4.53,3.71
000421.SZ,20250815,7.25,5.93
000422.SZ,20250815,14.41,11.79
000423.SZ,20250815,55.21,45.17
000425.SZ,20250815,9.58,7.84
000426.SZ,20250815,22.24,18.2
000428.SZ,20250815,3.7,3.02
000429.SZ,20250815,13.45,11.01
000430.SZ,20250815,7.65,6.93
000488.SZ,20250815,2.29,2.07
000498.SZ,20250815,6.6,5.4
000501.SZ,20250815,12.1,9.9
000503.SZ,20250815,11.52,9.42
000504.SZ,20250815,11.29,10.21
000505.SZ,20250815,7.33,5.99
000506.SZ,20250815,10.99,8.99
000507.SZ,20250815,6.12,5.0
000509.SZ,20250815,3.72,3.04
000510.SZ,20250815,5.58,4.56
000513.SZ,20250815,43.62,35.69
000514.SZ,20250815,6.17,5.05
000516.SZ,20250815,5.89,4.82
000517.SZ,20250815,2.12,1.74
000518.SZ,20250815,2.38,2.16
000519.SZ,20250815,24.46,20.02
000520.SZ,20250815,5.29,4.33
000521.SZ,20250815,7.93,6.49
