TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000001.SZ,20250819,13.29,10.87
000002.SZ,20250819,7.15,5.85
000004.SZ,20250819,9.88,8.94
000006.SZ,20250819,8.47,6.93
000007.SZ,20250819,8.27,6.77
000008.SZ,20250819,3.17,2.59
000009.SZ,20250819,10.3,8.42
000010.SZ,20250819,5.13,4.19
000011.SZ,20250819,11.2,9.16
000012.SZ,20250819,5.26,4.3
000014.SZ,20250819,18.18,14.88
000016.SZ,20250819,6.02,4.92
000017.SZ,20250819,7.16,5.86
000019.SZ,20250819,7.58,6.2
000020.SZ,20250819,15.38,12.58
000021.SZ,20250819,21.82,17.86
000025.SZ,20250819,19.42,15.89
000026.SZ,20250819,21.7,17.76
000027.SZ,20250819,7.67,6.27
000028.SZ,20250819,28.46,23.28
000029.SZ,20250819,26.87,21.99
000030.SZ,20250819,6.67,5.45
000031.SZ,20250819,3.56,2.92
000032.SZ,20250819,27.03,22.11
000034.SZ,20250819,48.66,39.82
000035.SZ,20250819,4.8,3.92
000036.SZ,20250819,4.48,3.66
000037.SZ,20250819,10.05,8.23
000039.SZ,20250819,8.88,7.26
000042.SZ,20250819,9.6,7.86
000045.SZ,20250819,12.85,10.51
000048.SZ,20250819,17.44,14.27
000049.SZ,20250819,26.37,21.57
000050.SZ,20250819,10.51,8.6
000055.SZ,20250819,4.54,3.72
000056.SZ,20250819,3.16,2.58
000058.SZ,20250819,10.14,8.3
000059.SZ,20250819,5.86,4.8
000060.SZ,20250819,5.51,4.51
000061.SZ,20250819,7.41,6.07
000062.SZ,20250819,32.1,26.26
000063.SZ,20250819,42.14,34.48
000065.SZ,20250819,13.79,11.29
000066.SZ,20250819,19.95,16.33
000068.SZ,20250819,4.35,3.56
000069.SZ,20250819,2.54,2.08
000070.SZ,20250819,11.66,9.54
000078.SZ,20250819,2.96,2.42
000088.SZ,20250819,5.03,4.11
000089.SZ,20250819,7.91,6.47
000090.SZ,20250819,3.96,3.24
000096.SZ,20250819,13.29,10.87
000099.SZ,20250819,26.08,21.34
000100.SZ,20250819,5.02,4.1
000151.SZ,20250819,14.29,11.69
000153.SZ,20250819,7.76,6.35
000155.SZ,20250819,11.29,9.23
000156.SZ,20250819,9.32,7.62
000157.SZ,20250819,8.25,6.75
000158.SZ,20250819,27.71,22.67
000159.SZ,20250819,6.42,5.26
000166.SZ,20250819,6.14,5.02
000301.SZ,20250819,9.77,7.99
000333.SZ,20250819,79.02,64.66
000338.SZ,20250819,16.93,13.85
000400.SZ,20250819,25.19,20.61
000401.SZ,20250819,5.46,4.46
000402.SZ,20250819,3.32,2.72
000403.SZ,20250819,19.81,16.21
000404.SZ,20250819,8.28,6.78
000407.SZ,20250819,3.85,3.15
000408.SZ,20250819,54.77,44.81
000409.SZ,20250819,14.56,11.92
000410.SZ,20250819,7.41,6.07
000411.SZ,20250819,12.44,10.18
000415.SZ,20250819,3.96,3.24
000417.SZ,20250819,6.67,5.45
000419.SZ,20250819,6.39,5.23
000420.SZ,20250819,4.71,3.85
000421.SZ,20250819,7.27,5.95
000422.SZ,20250819,14.72,12.04
000423.SZ,20250819,55.44,45.36
000425.SZ,20250819,9.54,7.8
000426.SZ,20250819,22.66,18.54
000428.SZ,20250819,3.75,3.07
000429.SZ,20250819,13.38,10.94
000430.SZ,20250819,7.64,6.92
000488.SZ,20250819,2.42,2.19
000498.SZ,20250819,6.61,5.41
000501.SZ,20250819,13.29,10.87
000503.SZ,20250819,12.16,9.95
000504.SZ,20250819,10.7,9.68
000505.SZ,20250819,7.38,6.04
000506.SZ,20250819,10.85,8.87
000507.SZ,20250819,6.15,5.03
000509.SZ,20250819,3.77,3.09
000510.SZ,20250819,5.79,4.73
000513.SZ,20250819,44.94,36.77
000514.SZ,20250819,6.27,5.13
000516.SZ,20250819,5.97,4.89
000517.SZ,20250819,2.15,1.76
000518.SZ,20250819,2.37,2.15
000519.SZ,20250819,25.06,20.5
000520.SZ,20250819,5.35,4.37
000521.SZ,20250819,8.12,6.64
000523.SZ,20250819,3.62,2.96
000524.SZ,20250819,14.08,11.52
000525.SZ,20250819,7.62,6.24
000526.SZ,20250819,56.85,46.51
000528.SZ,20250819,12.35,10.11
000529.SZ,20250819,6.78,5.54
000530.SZ,20250819,7.33,5.99
000531.SZ,20250819,7.07,5.79
000532.SZ,20250819,17.83,14.59
000533.SZ,20250819,8.57,7.01
000534.SZ,20250819,18.28,14.96
000536.SZ,20250819,5.41,4.43
000537.SZ,20250819,9.92,8.12
000538.SZ,20250819,62.52,51.16
000539.SZ,20250819,5.19,4.25
000541.SZ,20250819,7.54,6.17
000543.SZ,20250819,7.8,6.38
000544.SZ,20250819,9.27,7.59
000545.SZ,20250819,3.5,2.86
000546.SZ,20250819,5.78,4.73
000547.SZ,20250819,9.53,7.79
000548.SZ,20250819,6.13,5.01
000550.SZ,20250819,23.43,19.17
000551.SZ,20250819,13.56,11.1
000552.SZ,20250819,2.76,2.26
000553.SZ,20250819,7.55,6.17
000554.SZ,20250819,7.57,6.19
000555.SZ,20250819,15.14,12.38
000557.SZ,20250819,6.19,5.07
000558.SZ,20250819,6.48,5.3
000559.SZ,20250819,8.78,7.18
000560.SZ,20250819,3.3,2.7
000561.SZ,20250819,17.42,14.26
000563.SZ,20250819,4.13,3.38
000564.SZ,20250819,2.55,2.09
000565.SZ,20250819,9.53,7.79
