ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
600996.SH,20250815,21273.0,882.3,10299.0,1635.93,18972.0,7754.69,90645.86,6835.14,79880.61,13737.89,160560.3,14175.36,165941.99,12323.04,144303.62,12051.48,141014.18,5113.61,58983.5
688692.SH,20250815,5026.0,1661.33,721.45,2725.07,1184.17,8436.85,3651.49,7669.8,3317.19,18231.26,7886.37,18080.43,7820.36,1848.15,798.8,1702.29,736.39,3769.67,1624.29
002559.SZ,20250815,18300.0,366.54,3671.0,959.76,9622.0,2986.68,29930.0,4026.04,40356.5,6068.95,60841.5,6350.24,63668.1,6848.76,68669.5,4934.9,49465.4,412.42,4079.0
600292.SH,20250815,13836.0,383.74,3097.0,832.46,6732.0,3658.06,29547.0,3359.59,27136.0,5557.07,44883.0,5544.78,44777.95,6448.96,52085.95,6311.0,50967.0,-2164.88,-17531.15
601456.SH,20250815,88803.0,14464.93,121933.42,13284.27,112208.74,23298.69,196303.31,23962.32,202232.35,37456.67,315997.66,38863.13,327610.05,48495.55,409263.55,47606.12,401446.8,8645.74,72590.3
300804.SZ,20250815,8241.0,41.36,100.0,679.54,1629.0,2598.3,6219.0,2853.88,6837.0,3957.38,9481.0,4603.55,11024.3,4751.13,11376.01,3211.21,7685.71,1159.93,2763.19
688755.SH,20250815,8503.0,5.89,11.81,0.0,0.0,2283.06,4657.3,3064.93,6259.65,6717.75,13796.7,7618.94,15638.68,8410.92,17263.99,6733.75,13831.47,5269.21,10821.84
002735.SZ,20250815,38322.0,2046.34,13412.0,1458.39,9549.0,9212.99,60289.4,9578.78,62849.0,15539.72,101785.44,16909.24,110865.6,16562.79,108714.6,15415.42,100937.84,7926.3,51613.82
600887.SH,20250815,95945.0,9445.57,34797.5,13216.74,48678.66,35402.44,130258.29,28983.69,106717.63,51795.55,190686.92,55496.7,204228.96,64490.37,237510.85,63436.8,233628.31,-7966.35,-29569.2
002531.SZ,20250815,39219.0,6739.62,99385.8,1561.76,22889.2,11953.97,176271.6,11445.97,168678.0,16064.37,236605.77,17953.41,264726.14,12984.89,191090.8,16781.7,247060.63,17058.05,251977.39
