TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000001.SZ,20250818,13.29,10.87
000002.SZ,20250818,7.18,5.88
000004.SZ,20250818,9.68,8.76
000006.SZ,20250818,8.06,6.6
000007.SZ,20250818,8.06,6.6
000008.SZ,20250818,3.15,2.57
000009.SZ,20250818,10.09,8.25
000010.SZ,20250818,5.06,4.14
000011.SZ,20250818,11.06,9.05
000012.SZ,20250818,5.27,4.31
000014.SZ,20250818,16.7,13.66
000016.SZ,20250818,5.86,4.8
000017.SZ,20250818,7.06,5.78
000019.SZ,20250818,7.61,6.23
000020.SZ,20250818,15.29,12.51
000021.SZ,20250818,21.21,17.35
000025.SZ,20250818,19.25,15.75
000026.SZ,20250818,21.99,17.99
000027.SZ,20250818,7.59,6.21
000028.SZ,20250818,28.4,23.24
000029.SZ,20250818,26.47,21.65
000030.SZ,20250818,6.69,5.47
000031.SZ,20250818,3.51,2.87
000032.SZ,20250818,26.95,22.05
000034.SZ,20250818,46.37,37.94
000035.SZ,20250818,4.77,3.91
000036.SZ,20250818,4.54,3.72
000037.SZ,20250818,10.02,8.2
000039.SZ,20250818,8.91,7.29
000042.SZ,20250818,9.58,7.84
000045.SZ,20250818,12.46,10.2
000048.SZ,20250818,17.52,14.34
000049.SZ,20250818,26.04,21.3
000050.SZ,20250818,10.46,8.56
000055.SZ,20250818,4.55,3.73
000056.SZ,20250818,3.25,2.66
000058.SZ,20250818,10.07,8.24
000059.SZ,20250818,5.84,4.78
000060.SZ,20250818,5.56,4.55
000061.SZ,20250818,7.36,6.02
000062.SZ,20250818,29.18,23.88
000063.SZ,20250818,38.73,31.69
000065.SZ,20250818,14.22,11.64
000066.SZ,20250818,19.58,16.02
000068.SZ,20250818,4.44,3.64
000069.SZ,20250818,2.55,2.09
000070.SZ,20250818,11.76,9.62
000078.SZ,20250818,2.93,2.39
000088.SZ,20250818,5.03,4.11
000089.SZ,20250818,7.92,6.48
000090.SZ,20250818,3.98,3.26
000096.SZ,20250818,13.24,10.84
000099.SZ,20250818,25.94,21.22
000100.SZ,20250818,4.94,4.04
000151.SZ,20250818,14.2,11.62
000153.SZ,20250818,7.71,6.31
000155.SZ,20250818,11.28,9.23
000156.SZ,20250818,9.16,7.5
000157.SZ,20250818,8.25,6.75
000158.SZ,20250818,26.3,21.52
000159.SZ,20250818,6.37,5.21
000166.SZ,20250818,6.09,4.99
000301.SZ,20250818,9.81,8.03
000333.SZ,20250818,79.53,65.07
000338.SZ,20250818,17.03,13.93
000400.SZ,20250818,25.01,20.47
000401.SZ,20250818,5.46,4.46
000402.SZ,20250818,3.32,2.72
000403.SZ,20250818,19.82,16.22
000404.SZ,20250818,8.35,6.83
000407.SZ,20250818,3.86,3.16
000408.SZ,20250818,55.58,45.48
000409.SZ,20250818,14.43,11.81
000410.SZ,20250818,7.41,6.07
000411.SZ,20250818,12.44,10.18
000415.SZ,20250818,3.96,3.24
000417.SZ,20250818,6.69,5.47
000419.SZ,20250818,6.38,5.22
000420.SZ,20250818,4.61,3.77
000421.SZ,20250818,7.27,5.95
000422.SZ,20250818,15.02,12.29
000423.SZ,20250818,55.36,45.3
000425.SZ,20250818,9.66,7.9
000426.SZ,20250818,22.35,18.29
000428.SZ,20250818,3.75,3.07
000429.SZ,20250818,13.28,10.86
000430.SZ,20250818,7.69,6.95
000488.SZ,20250818,2.33,2.11
000498.SZ,20250818,6.63,5.43
000501.SZ,20250818,13.31,10.89
000503.SZ,20250818,11.98,9.8
000504.SZ,20250818,10.76,9.74
000505.SZ,20250818,7.36,6.02
000506.SZ,20250818,10.98,8.98
000507.SZ,20250818,6.14,5.02
000509.SZ,20250818,3.71,3.03
000510.SZ,20250818,5.79,4.73
000513.SZ,20250818,44.11,36.09
000514.SZ,20250818,6.17,5.05
000516.SZ,20250818,5.94,4.86
000517.SZ,20250818,2.15,1.76
000518.SZ,20250818,2.39,2.17
000519.SZ,20250818,24.52,20.06
000520.SZ,20250818,5.35,4.37
000521.SZ,20250818,8.05,6.59
000523.SZ,20250818,3.6,2.94
000524.SZ,20250818,14.0,11.46
000525.SZ,20250818,7.69,6.29
000526.SZ,20250818,57.26,46.85
000528.SZ,20250818,12.42,10.16
000529.SZ,20250818,6.75,5.53
000530.SZ,20250818,7.26,5.94
000531.SZ,20250818,7.04,5.76
000532.SZ,20250818,17.49,14.31
000533.SZ,20250818,8.4,6.88
000534.SZ,20250818,18.34,15.0
000536.SZ,20250818,5.34,4.37
