ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
000411.SZ,20250821,11.44,2.025,4.7727,11.361,11.4943,1.337,0.179,0.1799,52189.2509,32277.7045,13695.2291,597045.0303,369256.9395,0
603238.SH,20250821,20.65,2.8027,7.1481,38.4927,34.8525,2.6612,1.6389,1.5224,17750.9,17750.9,6960.0,366556.085,366556.085,0
603386.SH,20250821,15.76,4.8468,11.3926,,,3.7888,2.191,2.0954,32632.256,32632.256,13882.806,514284.3546,514284.3546,0
300456.SZ,20250821,23.74,15.1286,18.268,,,3.4458,14.4289,14.5016,73221.3134,59349.6578,49150.4198,1738273.9801,1408960.8762,0
000657.SZ,20250821,18.21,12.8345,23.1303,44.1744,37.845,4.5062,2.8149,2.7361,227895.438,125502.7148,69638.9151,4149975.926,2285404.4365,0
603395.SH,20250821,36.46,29.1275,29.1275,101.7486,102.1298,6.8915,2.7197,2.6048,26000.0,5359.6492,5359.6492,947960.0,195412.8098,0
688027.SH,20250821,294.48,2.0641,2.7076,,,9.4188,119.551,99.2469,10286.1001,8037.437,6127.437,3029050.7574,2366864.4478,0
603429.SH,20250821,9.82,1.4215,2.4114,,,4.1498,11.2461,14.7502,52448.5465,52448.5465,30918.0165,515044.7266,515044.7266,0
300917.SZ,20250821,46.79,3.4509,9.2024,65.0085,64.1918,6.9925,2.7614,2.7155,16900.0,16900.0,6337.49,790751.0,790751.0,0
301266.SZ,20250821,35.15,3.1384,7.544,100.0241,102.6371,2.1665,1.1791,1.2015,10987.8593,10424.0093,4336.5093,386223.2544,366403.9269,0
688399.SH,20250821,64.2,2.4333,4.0599,,,1.6543,15.4017,15.4844,8387.1721,8387.1721,5026.8025,538456.4488,538456.4488,0
603737.SH,20250821,46.3,0.4416,1.3388,102.9133,61.2461,11.613,2.822,2.8091,73781.7473,73781.7473,24336.3845,3416094.9,3416094.9,0
601158.SH,20250821,4.74,0.2585,2.2603,28.9805,27.1421,1.3613,3.2506,3.1906,480000.0,480000.0,54903.9311,2275200.0,2275200.0,0
603897.SH,20250821,26.92,2.8364,6.8092,23.538,23.6686,2.412,0.428,0.4134,20643.5681,20643.5681,8599.2381,555724.8533,555724.8533,0
600539.SH,20250821,10.91,4.3484,7.2432,,,7.7836,5.2269,5.1292,23000.0,23000.0,13807.7796,250930.0,250930.0,0
001299.SZ,20250821,12.46,4.4935,4.4935,34.6316,32.2823,2.5637,4.5449,4.3212,24263.8606,6543.0071,6543.0071,302327.7031,81525.8685,0
002406.SZ,20250821,8.62,9.9033,10.9644,53.1898,51.8889,1.5955,4.9309,4.8479,73022.5082,60221.2035,54393.2538,629454.0207,519106.7742,0
300121.SZ,20250821,14.44,2.8806,4.154,33.7323,37.3575,1.8656,1.889,1.8736,44881.4098,43298.2749,30025.3089,648087.5575,625227.0896,0
003011.SZ,20250821,21.51,2.5726,3.3714,44.0829,34.6192,1.5724,1.614,1.6505,10267.6,7808.8766,5958.6401,220856.076,167968.9357,0
688334.SH,20250821,19.49,6.6536,10.4412,26.9822,23.5541,2.1526,7.7285,6.8242,31657.9466,15690.4698,9998.6609,617013.3792,305807.2564,0
000021.SZ,20250821,20.55,5.3952,8.2387,34.4711,32.4767,2.7045,2.1629,2.1287,156058.7588,156040.3088,102184.4311,3207007.4933,3206628.3458,0
688371.SH,20250821,20.97,2.2235,5.8763,155.9605,151.9161,3.665,14.6724,14.2312,33547.2356,33547.2356,12693.9022,703485.5305,703485.5305,0
603360.SH,20250821,22.09,1.774,2.9493,45.1852,52.5083,10.1407,11.8933,10.9726,70622.3654,70622.3654,42479.9955,1560048.0517,1560048.0517,0
002928.SZ,20250821,9.14,1.9027,3.4643,43.5981,35.917,3.3927,1.7449,1.7046,127824.155,127824.155,70204.838,1168312.7767,1168312.7767,0
688515.SH,20250821,101.63,9.0213,11.252,,,5.2296,20.5196,20.0883,8000.0,4981.94,3994.3132,813040.0,506314.5622,0
000875.SZ,20250821,5.32,1.3686,1.9337,17.5549,17.4818,1.1118,1.4045,1.41,362727.0626,334240.0367,236556.553,1929707.973,1778156.9952,0
600521.SH,20250821,21.94,4.9221,8.3067,29.3568,28.6761,3.6636,3.4407,3.4882,149725.1081,145609.8818,86280.1993,3284968.8717,3194680.8067,0
300215.SZ,20250821,6.7,7.1055,13.2213,228.1562,4244.5587,2.556,8.1033,8.6284,74909.4187,56217.5744,30212.8854,501893.1053,376657.7485,0
001306.SZ,20250821,101.35,15.4317,15.4317,102.6159,114.4993,4.6973,9.5714,9.0263,6285.06,1550.0,1550.0,636990.831,157092.5,0
300884.SZ,20250821,14.59,5.2632,6.5223,,,2.931,5.1472,5.2317,25386.282,19140.9886,15446.0468,370385.8544,279267.0237,0
688488.SH,20250821,17.02,2.1184,3.8358,,,7.1879,17.1413,13.6995,42078.2808,42078.2808,23238.9408,716172.3392,716172.3392,0
002663.SZ,20250821,1.91,2.4513,3.2011,,,1.3468,1.6552,1.6537,172334.8902,139644.8135,106934.6346,329159.6403,266721.5938,0
600221.SH,20250821,1.57,2.4089,3.1939,,,27.1023,1.04,1.0392,4321563.2535,3287267.6656,2479344.848,6784854.308,5161010.235,0
