TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000001.SZ,20250821,13.28,10.86
000002.SZ,20250821,7.21,5.9
000004.SZ,20250821,10.16,9.2
000006.SZ,20250821,8.45,6.91
000007.SZ,20250821,8.4,6.88
000008.SZ,20250821,3.22,2.64
000009.SZ,20250821,10.46,8.56
000010.SZ,20250821,5.2,4.26
000011.SZ,20250821,10.9,8.92
000012.SZ,20250821,5.28,4.32
000014.SZ,20250821,18.88,15.44
000016.SZ,20250821,6.18,5.06
000017.SZ,20250821,7.52,6.16
000019.SZ,20250821,7.77,6.35
000020.SZ,20250821,15.8,12.92
000021.SZ,20250821,22.73,18.59
000025.SZ,20250821,19.68,16.1
000026.SZ,20250821,21.03,17.21
000027.SZ,20250821,7.59,6.21
000028.SZ,20250821,28.59,23.39
000029.SZ,20250821,28.89,23.63
000030.SZ,20250821,6.88,5.63
000031.SZ,20250821,3.56,2.92
000032.SZ,20250821,27.32,22.36
000034.SZ,20250821,50.37,41.21
000035.SZ,20250821,4.92,4.02
000036.SZ,20250821,4.79,3.92
000037.SZ,20250821,10.25,8.39
000039.SZ,20250821,8.88,7.26
000042.SZ,20250821,10.11,8.27
000045.SZ,20250821,12.91,10.57
000048.SZ,20250821,17.6,14.4
000049.SZ,20250821,26.9,22.01
000050.SZ,20250821,10.75,8.79
000055.SZ,20250821,4.64,3.8
000056.SZ,20250821,3.09,2.53
000058.SZ,20250821,10.2,8.34
000059.SZ,20250821,5.91,4.83
000060.SZ,20250821,5.58,4.56
000061.SZ,20250821,7.54,6.17
000062.SZ,20250821,32.46,26.56
000063.SZ,20250821,43.93,35.95
000065.SZ,20250821,13.54,11.08
000066.SZ,20250821,19.23,15.73
000068.SZ,20250821,4.25,3.47
000069.SZ,20250821,2.55,2.09
000070.SZ,20250821,10.89,8.91
000078.SZ,20250821,3.0,2.46
000088.SZ,20250821,5.03,4.11
000089.SZ,20250821,7.91,6.47
000090.SZ,20250821,3.99,3.27
000096.SZ,20250821,13.49,11.03
000099.SZ,20250821,26.2,21.44
000100.SZ,20250821,5.07,4.15
000151.SZ,20250821,14.47,11.84
000153.SZ,20250821,7.87,6.44
000155.SZ,20250821,11.39,9.32
000156.SZ,20250821,9.31,7.61
000157.SZ,20250821,8.25,6.75
000158.SZ,20250821,29.06,23.78
000159.SZ,20250821,6.55,5.36
000166.SZ,20250821,6.13,5.01
000301.SZ,20250821,10.19,8.33
000333.SZ,20250821,79.44,65.0
000338.SZ,20250821,16.96,13.88
000400.SZ,20250821,25.15,20.57
000401.SZ,20250821,5.49,4.49
000402.SZ,20250821,3.36,2.75
000403.SZ,20250821,19.73,16.15
000404.SZ,20250821,8.42,6.89
000407.SZ,20250821,4.0,3.28
000408.SZ,20250821,55.24,45.2
000409.SZ,20250821,14.51,11.87
000410.SZ,20250821,7.55,6.17
000411.SZ,20250821,12.55,10.27
000415.SZ,20250821,3.93,3.21
000417.SZ,20250821,6.78,5.54
000419.SZ,20250821,6.48,5.3
000420.SZ,20250821,5.1,4.18
000421.SZ,20250821,7.39,6.05
000422.SZ,20250821,15.13,12.38
000423.SZ,20250821,55.89,45.73
000425.SZ,20250821,9.54,7.8
000426.SZ,20250821,21.84,17.87
000428.SZ,20250821,3.92,3.2
000429.SZ,20250821,13.32,10.9
000430.SZ,20250821,7.63,6.91
000488.SZ,20250821,2.39,2.17
000498.SZ,20250821,6.61,5.41
000501.SZ,20250821,13.21,10.81
000503.SZ,20250821,12.18,9.96
000504.SZ,20250821,10.75,9.73
000505.SZ,20250821,7.45,6.09
000506.SZ,20250821,10.82,8.86
000507.SZ,20250821,6.17,5.05
000509.SZ,20250821,3.91,3.2
000510.SZ,20250821,6.09,4.99
000513.SZ,20250821,44.54,36.44
000514.SZ,20250821,6.4,5.24
000516.SZ,20250821,6.01,4.91
000517.SZ,20250821,2.19,1.79
000518.SZ,20250821,2.42,2.19
000519.SZ,20250821,24.56,20.1
000520.SZ,20250821,5.35,4.37
000521.SZ,20250821,8.44,6.9
000523.SZ,20250821,3.69,3.02
000524.SZ,20250821,14.52,11.88
000525.SZ,20250821,7.65,6.26
000526.SZ,20250821,56.97,46.61
000528.SZ,20250821,12.25,10.03
000529.SZ,20250821,6.91,5.65
000530.SZ,20250821,7.46,6.1
000531.SZ,20250821,7.15,5.85
000532.SZ,20250821,18.02,14.74
000533.SZ,20250821,8.77,7.17
000534.SZ,20250821,19.31,15.8
000536.SZ,20250821,6.13,5.01
000537.SZ,20250821,9.94,8.14
000538.SZ,20250821,62.63,51.25
000539.SZ,20250821,5.2,4.26
000541.SZ,20250821,7.76,6.35
000543.SZ,20250821,7.83,6.41
000544.SZ,20250821,9.36,7.66
000545.SZ,20250821,3.53,2.89
000546.SZ,20250821,5.8,4.74
000547.SZ,20250821,9.5,7.78
000548.SZ,20250821,6.23,5.09
000550.SZ,20250821,23.01,18.83
000551.SZ,20250821,13.87,11.35
000552.SZ,20250821,2.79,2.29
000553.SZ,20250821,7.68,6.28
000554.SZ,20250821,7.87,6.44
000555.SZ,20250821,15.05,12.31
000557.SZ,20250821,6.2,5.08
000558.SZ,20250821,6.46,5.28
000559.SZ,20250821,9.13,7.47
000560.SZ,20250821,3.39,2.77
000561.SZ,20250821,14.98,12.26
000563.SZ,20250821,4.16,3.4
000564.SZ,20250821,2.65,2.17
000565.SZ,20250821,9.78,8.0
000566.SZ,20250821,6.96,5.7
000567.SZ,20250821,7.56,6.18
000568.SZ,20250821,143.34,117.28
000570.SZ,20250821,6.79,5.55
000571.SZ,20250821,4.98,4.08
000572.SZ,20250821,5.03,4.11
000573.SZ,20250821,4.73,3.87
000576.SZ,20250821,12.25,10.03
000581.SZ,20250821,22.76,18.62
000582.SZ,20250821,9.15,7.49
000586.SZ,20250821,13.97,11.43
000589.SZ,20250821,5.1,4.18
000590.SZ,20250821,13.75,11.25
000591.SZ,20250821,4.98,4.08
000592.SZ,20250821,3.4,2.78
000593.SZ,20250821,7.44,6.08
000595.SZ,20250821,5.23,4.73
000596.SZ,20250821,177.43,145.17
000597.SZ,20250821,6.45,5.27
000598.SZ,20250821,7.65,6.26
000599.SZ,20250821,5.67,4.64
000600.SZ,20250821,8.28,6.78
000601.SZ,20250821,5.93,4.85
000603.SZ,20250821,17.66,14.45
000605.SZ,20250821,8.07,6.61
000607.SZ,20250821,5.12,4.19
000608.SZ,20250821,2.02,1.82
000609.SZ,20250821,3.64,3.3
000610.SZ,20250821,15.04,12.3
000612.SZ,20250821,10.27,8.41
000615.SZ,20250821,3.45,3.13
000617.SZ,20250821,10.87,8.89
000619.SZ,20250821,7.08,5.8
000620.SZ,20250821,1.83,1.49
000623.SZ,20250821,22.09,18.07
000625.SZ,20250821,14.51,11.87
000626.SZ,20250821,7.88,6.44
000627.SZ,20250821,1.66,1.5
000628.SZ,20250821,62.15,50.85
000629.SZ,20250821,3.08,2.52
000630.SZ,20250821,4.61,3.77
000631.SZ,20250821,3.36,2.75
000632.SZ,20250821,4.5,3.68
000633.SZ,20250821,7.99,6.53
000635.SZ,20250821,10.12,8.28
000636.SZ,20250821,16.57,13.55
000637.SZ,20250821,4.76,3.9
000638.SZ,20250821,4.81,4.35
000639.SZ,20250821,3.69,3.02
000650.SZ,20250821,7.02,5.74
000651.SZ,20250821,51.9,42.46
000652.SZ,20250821,5.15,4.21
000655.SZ,20250821,9.86,8.06
000656.SZ,20250821,1.43,1.29
000657.SZ,20250821,21.09,17.25
000659.SZ,20250821,3.23,2.65
000661.SZ,20250821,113.08,92.52
000663.SZ,20250821,7.69,6.29
000665.SZ,20250821,6.52,5.34
000668.SZ,20250821,10.35,9.37
000669.SZ,20250821,3.4,3.08
000670.SZ,20250821,9.19,7.52
000672.SZ,20250821,10.07,8.24
000676.SZ,20250821,10.58,8.66
000677.SZ,20250821,6.25,5.11
000678.SZ,20250821,18.35,15.01
000679.SZ,20250821,10.8,8.84
000680.SZ,20250821,10.82,8.86
000681.SZ,20250821,23.72,19.4
000682.SZ,20250821,12.17,9.95
000683.SZ,20250821,6.37,5.21
000685.SZ,20250821,11.21,9.17
000686.SZ,20250821,9.76,7.98
000688.SZ,20250821,16.12,13.19
000690.SZ,20250821,5.34,4.37
000691.SZ,20250821,8.05,7.29
000692.SZ,20250821,4.03,3.29
000695.SZ,20250821,13.37,10.94
000697.SZ,20250821,8.72,7.89
000698.SZ,20250821,4.65,3.81
000700.SZ,20250821,11.45,9.37
000701.SZ,20250821,6.82,5.58
000702.SZ,20250821,8.79,7.19
000703.SZ,20250821,6.86,5.62
000705.SZ,20250821,10.56,8.64
000707.SZ,20250821,7.27,5.95
000708.SZ,20250821,14.06,11.5
000709.SZ,20250821,2.63,2.15
000710.SZ,20250821,15.97,13.07
000711.SZ,20250821,1.93,1.75
000712.SZ,20250821,16.98,13.9
000713.SZ,20250821,7.99,6.53
000715.SZ,20250821,6.9,5.64
000716.SZ,20250821,7.55,6.17
000717.SZ,20250821,3.15,2.57
000718.SZ,20250821,2.53,2.07
000719.SZ,20250821,14.37,11.75
000720.SZ,20250821,4.03,3.29
000721.SZ,20250821,10.84,8.87
000722.SZ,20250821,14.07,11.51
000723.SZ,20250821,5.17,4.23
000725.SZ,20250821,4.41,3.61
000726.SZ,20250821,8.04,6.58
000727.SZ,20250821,2.93,2.39
000728.SZ,20250821,10.09,8.25
000729.SZ,20250821,13.98,11.44
000731.SZ,20250821,7.95,6.51
000733.SZ,20250821,55.35,45.29
000735.SZ,20250821,7.02,5.74
000736.SZ,20250821,5.21,4.71
000737.SZ,20250821,12.56,10.28
000738.SZ,20250821,22.91,18.75
000739.SZ,20250821,17.96,14.7
000750.SZ,20250821,5.06,4.14
000751.SZ,20250821,3.85,3.15
000752.SZ,20250821,11.79,10.67
000753.SZ,20250821,6.44,5.27
000755.SZ,20250821,5.45,4.46
000756.SZ,20250821,18.23,14.91
000757.SZ,20250821,5.62,4.6
000758.SZ,20250821,6.97,5.71
000759.SZ,20250821,8.54,6.98
000761.SZ,20250821,4.08,3.34
000762.SZ,20250821,24.78,20.28
000766.SZ,20250821,26.16,21.4
000767.SZ,20250821,3.32,2.72
000768.SZ,20250821,31.02,25.38
000776.SZ,20250821,23.11,18.91
000777.SZ,20250821,23.27,19.04
000778.SZ,20250821,4.15,3.39
000779.SZ,20250821,10.47,8.57
000782.SZ,20250821,6.15,5.03
000783.SZ,20250821,8.91,7.29
000785.SZ,20250821,3.28,2.68
000786.SZ,20250821,28.95,23.69
000788.SZ,20250821,7.1,5.81
000789.SZ,20250821,6.73,5.51
000790.SZ,20250821,4.68,3.83
000791.SZ,20250821,7.14,5.84
000792.SZ,20250821,21.09,17.25
000793.SZ,20250821,2.71,2.45
000795.SZ,20250821,13.28,10.86
000796.SZ,20250821,6.01,4.91
000797.SZ,20250821,3.08,2.52
000798.SZ,20250821,9.21,7.53
000799.SZ,20250821,69.82,57.12
000800.SZ,20250821,8.29,6.79
000801.SZ,20250821,19.55,15.99
000802.SZ,20250821,5.48,4.48
000803.SZ,20250821,8.09,6.62
000807.SZ,20250821,19.09,15.62
000809.SZ,20250821,3.27,2.67
000810.SZ,20250821,13.86,11.34
000811.SZ,20250821,15.62,12.78
000812.SZ,20250821,5.59,4.57
000813.SZ,20250821,4.54,3.72
000815.SZ,20250821,16.28,13.32
000816.SZ,20250821,3.55,2.91
000818.SZ,20250821,26.02,21.29
000819.SZ,20250821,19.06,15.6
000820.SZ,20250821,2.97,2.69
000821.SZ,20250821,13.49,11.03
000822.SZ,20250821,6.6,5.4
000823.SZ,20250821,15.49,12.67
000825.SZ,20250821,4.6,3.76
000826.SZ,20250821,2.21,1.81
000828.SZ,20250821,12.33,10.09
000829.SZ,20250821,11.7,9.58
000830.SZ,20250821,13.54,11.08
000831.SZ,20250821,50.31,41.17
000833.SZ,20250821,13.89,11.37
000837.SZ,20250821,14.53,11.89
000838.SZ,20250821,3.15,2.57
000839.SZ,20250821,3.04,2.48
000848.SZ,20250821,9.96,8.15
000850.SZ,20250821,5.18,4.24
000851.SZ,20250821,1.54,1.4
000852.SZ,20250821,7.79,6.37
000856.SZ,20250821,13.44,11.0
000858.SZ,20250821,138.36,113.2
000859.SZ,20250821,7.9,6.46
000860.SZ,20250821,18.15,14.85
000862.SZ,20250821,6.22,5.09
000863.SZ,20250821,3.93,3.21
000868.SZ,20250821,6.58,5.38
000869.SZ,20250821,24.4,19.96
000875.SZ,20250821,5.84,4.78
000876.SZ,20250821,10.85,8.87
000877.SZ,20250821,6.5,5.32
000878.SZ,20250821,15.27,12.49
000880.SZ,20250821,61.6,50.4
000881.SZ,20250821,8.73,7.15
000882.SZ,20250821,2.28,1.86
000883.SZ,20250821,5.05,4.13
000885.SZ,20250821,16.59,13.57
000886.SZ,20250821,7.37,6.03
000887.SZ,20250821,25.37,20.75
000888.SZ,20250821,15.33,12.55
000889.SZ,20250821,4.35,3.56
000890.SZ,20250821,4.73,3.87
000892.SZ,20250821,5.68,4.64
000893.SZ,20250821,34.3,28.06
000895.SZ,20250821,27.94,22.86
000897.SZ,20250821,2.73,2.23
000898.SZ,20250821,2.99,2.45
000899.SZ,20250821,10.54,8.62
000900.SZ,20250821,4.82,3.94
000901.SZ,20250821,20.43,16.71
000902.SZ,20250821,15.74,12.88
000903.SZ,20250821,3.27,2.95
000905.SZ,20250821,9.21,7.53
000906.SZ,20250821,7.39,6.05
000908.SZ,20250821,6.14,5.56
000909.SZ,20250821,6.69,6.05
000910.SZ,20250821,8.9,7.28
000911.SZ,20250821,8.73,7.15
000912.SZ,20250821,4.98,4.08
000913.SZ,20250821,19.09,15.62
000915.SZ,20250821,37.38,30.58
000917.SZ,20250821,8.69,7.11
000919.SZ,20250821,7.96,6.52
000920.SZ,20250821,13.12,10.74
000921.SZ,20250821,26.94,22.04
000922.SZ,20250821,13.42,10.98
000923.SZ,20250821,15.87,12.99
000925.SZ,20250821,9.12,7.46
000926.SZ,20250821,3.26,2.66
000927.SZ,20250821,3.03,2.48
000928.SZ,20250821,7.35,6.01
000929.SZ,20250821,9.01,8.15
000930.SZ,20250821,6.93,5.67
000931.SZ,20250821,6.02,4.92
000932.SZ,20250821,6.31,5.17
000933.SZ,20250821,21.04,17.22
000935.SZ,20250821,22.77,18.63
000936.SZ,20250821,8.57,7.01
000937.SZ,20250821,6.68,5.46
000938.SZ,20250821,30.48,24.94
000948.SZ,20250821,22.65,18.53
000949.SZ,20250821,4.51,3.69
000950.SZ,20250821,5.97,4.89
