ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
600116.SH,20250820,6.78,0.4715,1.0148,41.8596,44.1703,1.1831,1.256,1.2803,191214.2904,191214.2904,88844.6091,1296432.8889,1296432.8889,0
605555.SH,20250820,18.06,1.6652,4.4862,21.2798,21.5018,2.9558,2.1349,2.047,48406.904,48406.904,17967.5141,874228.6862,874228.6862,0
002100.SZ,20250820,6.53,1.6693,2.3313,14.7344,12.7517,1.3068,0.519,0.5071,136525.1515,136525.1515,97759.3855,891509.2393,891509.2393,0
836807.BJ,20250820,21.23,16.0243,23.1419,158.3015,184.5188,4.1916,6.7439,6.7117,18188.0,12363.2757,8560.7683,386131.24,262472.3431,0
600172.SH,20250820,4.92,5.4768,7.3763,,,5.2845,5.4527,5.4889,144218.4476,127625.575,94759.9564,709554.7622,627917.829,0
838163.BJ,20250820,18.48,3.0126,5.3597,53.1728,62.6508,4.9978,3.4045,3.0076,12871.516,6198.5735,3484.036,237865.6157,114549.6383,0
605300.SH,20250820,14.23,1.7157,11.1455,77.0349,153.4973,2.2751,2.7984,2.7631,45439.8597,40001.0,6157.5921,646609.2035,569214.23,0
835207.BJ,20250820,31.24,8.5605,12.7728,,,10.126,8.607,10.1041,9219.5,5631.4468,3774.27,288017.18,175926.398,0
002074.SZ,20250820,32.24,4.1304,6.8577,48.2337,47.0069,2.2601,1.6447,1.5758,180545.7485,172756.4061,104051.6237,5820794.9316,5569666.5327,0
301419.SZ,20250820,35.4,13.3737,13.864,92.7892,82.1687,4.6785,12.0957,11.6139,12000.0,4242.0,4092.0,424800.0,150166.8,0
002693.SZ,20250820,8.28,2.9704,5.8315,,,9.1575,19.7102,21.0091,41468.975,41098.1596,20933.7944,343363.113,340292.7615,0
600215.SH,20250820,7.68,2.3855,3.4007,55.1875,,1.7948,1.9293,2.4008,46299.538,45688.288,32049.1173,355580.4518,350886.0518,0
301287.SZ,20250820,43.14,8.9476,8.9476,35.4096,34.817,2.54,4.1877,4.351,6667.0,1703.135,1703.135,287614.38,73473.2439,0
603718.SH,20250820,7.34,2.0348,3.2862,28.114,25.9016,3.1544,17.7559,18.3316,65566.22,64897.97,40184.3012,481256.0548,476351.0998,0
600273.SH,20250820,8.85,1.1975,1.9786,11.9159,11.3416,1.168,1.3119,1.2591,135687.9522,135687.9522,82122.7107,1200838.377,1200838.377,0
833230.BJ,20250820,17.22,4.1471,7.6197,77.0734,111.8827,4.3187,5.5749,5.758,10044.7495,4670.9014,2542.2025,172970.5864,80432.9221,0
300481.SZ,20250820,15.67,2.0731,3.2181,23.8754,26.4796,1.9554,3.2412,3.2366,29185.5438,29010.4349,18688.5388,457337.4713,454593.5149,0
834765.BJ,20250820,17.85,3.5101,7.2304,83.4641,163.6408,5.1172,2.9518,3.057,8967.1523,5637.105,2736.5993,160063.6686,100622.3243,0
838030.BJ,20250820,7.66,2.7582,4.3237,247.3491,280.8779,2.96,0.579,0.5862,17883.9681,11347.4041,7238.9353,136991.1956,86921.1154,0
603206.SH,20250820,18.42,1.5007,5.2523,80.9986,87.8039,2.5171,1.2549,1.276,30519.9988,30519.9988,8719.9988,562178.3779,562178.3779,0
601077.SH,20250820,6.57,1.0076,1.6568,6.4811,6.3594,0.5915,2.6402,2.6313,1135700.0,883770.0254,537481.4387,7461549.0,5806369.0669,0
300738.SZ,20250820,22.26,6.5196,9.0062,176.7283,174.9699,6.4408,10.1299,9.4539,98515.2531,98487.3567,71294.806,2192949.534,2192328.5601,0
603977.SH,20250820,12.84,1.9993,3.9036,44.1324,45.0966,2.4886,3.3879,3.3968,62124.1828,62124.1828,31818.4796,797674.5072,797674.5072,0
600801.SH,20250820,15.57,1.4862,3.6006,13.3966,13.0908,1.0963,0.946,0.9439,207899.5649,134427.5649,55488.1709,3236996.2255,2093037.1855,0
603335.SH,20250820,5.49,3.3343,6.6375,,,9.9593,2.2501,2.4495,42814.46,42814.46,21507.57,235051.3854,235051.3854,0
603759.SH,20250820,8.83,0.9685,2.432,13.3761,12.5214,1.4596,2.6849,2.6226,46176.0,46176.0,18387.908,407734.08,407734.08,0
002004.SZ,20250820,5.01,3.8675,5.0981,,,1.0175,0.8504,0.8487,197991.9191,188161.9429,142744.5304,991939.5147,942691.3339,1
301355.SZ,20250820,12.78,4.9741,4.9741,66.873,95.9651,1.655,1.7806,1.6924,19509.7928,10025.5428,10025.5428,249335.152,128126.437,0
300244.SZ,20250820,16.39,4.1161,4.5898,,,1.6028,0.8399,0.8839,62497.9436,50145.9061,44971.2938,1024341.2956,821891.401,0
832786.BJ,20250820,11.65,22.5235,30.8599,,,3.371,1.8781,1.704,20905.3,14219.6455,10378.394,243546.745,165658.8701,0
300896.SZ,20250820,188.5,3.166,4.984,29.1371,35.0758,7.6499,18.8516,21.3793,30259.2061,20859.157,13250.6687,5703860.3499,3931951.0945,0
300687.SZ,20250820,31.1,7.5281,8.7349,91.1306,88.5044,4.6806,5.3024,5.4169,40841.161,32908.6439,28362.2355,1270160.1071,1023458.8253,0
603203.SH,20250820,30.35,3.544,9.9269,36.2799,35.1936,5.624,8.1459,7.935,25366.1118,24915.3318,8895.1047,769861.4931,756180.3201,0
600850.SH,20250820,26.52,2.1448,3.3202,33.0499,34.6743,3.855,1.6997,1.6472,68612.4064,61360.6284,39637.8442,1819601.0177,1627283.8652,0
300808.SZ,20250820,30.65,7.2674,16.8174,,,4.9118,11.3676,12.4677,16000.0,10519.9438,4546.0639,490400.0,322436.2775,0
603809.SH,20250820,16.38,4.0229,6.127,43.762,40.6931,4.5474,5.9684,5.7889,85984.5527,85984.5527,56455.4014,1408426.9732,1408426.9732,0
603010.SH,20250820,10.46,0.996,1.9419,59.628,91.4258,1.713,2.0811,2.0085,58957.8593,58957.8593,30239.4927,616699.2083,616699.2083,0
600107.SH,20250820,5.02,1.6192,2.0666,,,3.7345,5.4846,6.5953,36000.0,36000.0,28205.9362,180720.0,180720.0,1
603279.SH,20250820,16.06,0.712,1.293,10.9144,11.7703,2.1024,1.5104,1.5357,57645.7,57637.3,31735.2162,925789.942,925655.038,0
002737.SZ,20250820,16.33,1.2614,2.9132,19.3818,32.4407,2.3012,2.824,3.7809,58400.0,58399.9625,25287.7681,953672.0,953671.3876,0
002193.SZ,20250820,6.38,3.9005,5.3172,,,2.5951,3.7174,3.7997,26171.555,26171.405,19198.3885,166974.5209,166973.5639,0
603393.SH,20250820,30.25,1.0198,1.809,10.8196,10.4195,1.5034,3.3954,3.457,42392.1327,42322.1331,23859.4733,1282362.0142,1280244.5263,0
301009.SZ,20250820,16.8,25.7785,42.5541,146.5137,145.3127,3.4237,4.2347,4.2456,27186.0,13055.7707,7908.9444,456724.8,219336.9478,0
002313.SZ,20250820,12.17,7.4783,13.4528,,,122.7512,1.5302,1.637,37440.0,37439.6175,20812.3625,455644.8,455640.145,0
002385.SZ,20250820,4.19,2.5308,2.6965,52.1074,26.1284,2.0749,0.6263,0.6229,430007.8565,352407.7887,330752.788,1801732.9187,1476588.6347,0
300652.SZ,20250820,62.3,4.9207,9.4998,69.1574,67.9991,5.8927,11.2285,10.7147,13339.0572,11971.7927,6201.0835,831023.2636,745842.6852,0
603609.SH,20250820,8.88,0.7674,1.72,23.6601,13.2923,1.2297,0.249,0.2316,91248.0728,91248.0728,40713.1221,810282.8865,810282.8865,0
002238.SZ,20250820,8.92,1.7877,5.2056,,,3.231,5.4943,5.5237,80255.916,80255.916,27562.3499,715882.7707,715882.7707,0
605183.SH,20250820,21.76,0.9973,3.0849,16.7335,16.2709,2.7028,4.1183,4.0866,41588.3145,41242.9445,13333.6225,904961.7235,897446.4723,0
001400.SZ,20250820,72.2,21.1347,21.1347,27.9715,35.856,3.4324,3.8118,4.1041,6000.0,1500.0,1500.0,433200.0,108300.0,0
688038.SH,20250820,17.54,2.3338,4.1354,,,3.3738,5.9584,6.2668,11637.34,11637.34,6567.3613,204118.9436,204118.9436,0
603128.SH,20250820,6.35,1.9232,3.5489,15.4268,16.9697,1.4152,0.4743,0.4714,130904.6494,130904.6494,70940.1667,831244.5237,831244.5237,0
688163.SH,20250820,25.85,3.4105,3.4105,63.1624,60.0668,2.5969,14.3523,14.4025,10822.0,4437.2,4437.2,279748.7,114701.62,0
300920.SZ,20250820,57.07,5.5136,6.196,224.3449,335.5522,4.8914,14.0378,14.0264,10000.0,6567.225,5843.8993,570700.0,374791.5308,0
600536.SH,20250820,51.4,6.4944,10.2183,,,12.327,9.2337,9.3455,93378.6584,84365.5895,53619.7835,4799663.0418,4336391.3003,0
600268.SH,20250820,10.45,4.3702,9.5084,31.1665,27.2907,3.2871,1.1756,1.0995,101587.0778,101074.2795,46455.7316,1061584.963,1056226.2208,0
300588.SZ,20250820,19.48,18.9466,26.002,,,12.3977,22.9187,21.0221,19147.103,17682.203,12884.303,372985.5664,344449.3144,0
600009.SH,20250820,32.29,0.7417,1.3852,41.5487,38.8711,1.9392,6.4964,6.4222,248848.134,191869.5948,102740.5144,8035306.2469,6195469.2161,0
832419.BJ,20250820,23.55,4.5826,8.661,31.0463,30.1087,4.3573,3.1285,3.0215,10330.64,9360.0549,4952.4776,243286.572,220429.2929,0
603028.SH,20250820,8.34,4.0986,5.7653,,,4.6752,1.92,1.8188,28704.0,28704.0,20405.9262,239391.36,239391.36,0
688691.SH,20250820,83.49,20.9508,20.9508,164.1156,,7.5824,9.1944,11.283,12000.0,7146.501,7146.501,1001880.0,596661.3685,0
603112.SH,20250820,18.93,6.883,18.4287,21.6902,20.5014,2.611,2.6666,2.6435,53917.0563,50519.8717,18868.8643,1020649.8758,956341.1713,0
002421.SZ,20250820,3.86,21.4195,25.205,316.2702,,2.4832,2.5815,2.9148,212058.1639,200669.2505,170531.1366,818544.5127,774583.3069,0
600736.SH,20250820,5.83,2.4736,4.401,51.388,40.4455,0.9046,0.9194,1.4384,115129.2907,115129.2907,64709.8013,671203.7648,671203.7648,0
688311.SH,20250820,40.31,2.9691,4.6492,,,4.2276,48.5685,46.2936,16791.4642,16791.4642,10723.3814,676863.9219,676863.9219,0
601007.SH,20250820,7.88,6.274,11.1053,92.4023,94.9291,1.9828,1.6432,1.7452,39000.0,39000.0,22033.2082,307320.0,307320.0,0
600059.SH,20250820,10.28,3.4924,5.6801,45.5844,46.2563,1.5933,4.8395,4.9101,91154.2413,91154.2413,56045.8255,937065.6006,937065.6006,0
000932.SZ,20250820,5.74,1.747,3.5481,19.5178,16.1948,0.7251,0.2752,0.3022,690863.2499,690854.6583,340173.774,3965555.0544,3965505.7386,0
000055.SZ,20250820,4.22,2.1197,2.5802,31.2936,35.8603,0.7421,1.0243,1.063,107387.4227,67585.4429,55524.4019,453174.9238,285210.569,0
000997.SZ,20250820,29.29,2.02,2.8896,29.9436,28.1969,4.3825,4.1589,4.0443,103206.2937,102640.4403,71752.4963,3022912.3425,3006338.4964,0
000049.SZ,20250820,24.45,2.6503,4.8633,22.7703,22.5084,1.4472,0.4509,0.445,38463.8534,38453.4862,20955.5893,940441.2156,940187.7376,0
