ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
600008.SH,20250819,18687.0,2012.92,64261.0,951.35,30324.2,4512.38,144124.0,4427.18,141281.26,5993.6,191390.94,6188.1,197585.6,6112.04,195114.08,7064.3,225698.96,-3845.89,-123393.38
603828.SH,20250819,1020.0,0.0,0.0,0.0,0.0,369.55,8340.09,210.14,4740.69,713.47,16071.69,887.51,19982.92,590.29,13287.0,575.66,12975.17,-192.43,-4387.88
300444.SZ,20250819,23078.0,1739.17,22420.0,2140.17,27674.0,7066.76,91199.0,8094.21,104544.04,8739.5,112882.04,9220.73,119022.3,9096.41,117508.13,7186.72,92768.83,-648.41,-8565.45
300662.SZ,20250819,10655.0,359.01,1097.0,591.62,1813.0,2634.16,8037.0,3203.05,9789.0,5912.82,18093.0,5614.25,17194.0,5764.99,17667.0,5262.06,16098.0,-1436.16,-4456.0
603198.SH,20250819,32648.0,2082.15,4840.0,2296.25,5329.0,10112.41,23519.76,10345.46,24063.48,21947.02,51039.98,23306.29,54191.19,26289.81,61095.3,24483.38,56911.37,8205.5,19080.36
603893.SH,20250819,68095.0,28533.12,15394.67,34142.47,18454.73,65868.57,35559.59,62297.72,33670.0,84357.42,45594.94,81369.87,43967.42,96664.51,52325.26,97613.56,52782.31,14019.25,7412.62
688098.SH,20250819,6508.0,8526.11,55553.83,6757.02,44397.92,10347.13,68449.77,10468.34,69166.5,7624.58,50931.75,8246.1,54673.67,3097.07,20689.9,4123.43,27387.16,-6939.83,-44837.09
603806.SH,20250819,33949.0,2321.49,16051.93,4012.07,27859.08,10395.3,72291.77,9186.24,63856.43,18937.63,131697.56,17543.83,122007.14,19669.24,136801.68,20581.53,143120.29,3512.29,24153.36
688695.SH,20250819,5511.0,0.0,0.0,0.0,0.0,1108.14,3346.69,1654.02,4994.56,1625.62,4916.92,1889.11,5705.8,4010.39,12095.74,3201.02,9658.99,1618.93,4870.73
603887.SH,20250819,29341.0,2818.59,15374.69,7256.77,39566.0,9591.32,52215.92,8284.24,45090.76,17418.83,94718.34,15348.04,83439.66,18121.48,98595.34,17061.16,92807.87,-1970.81,-10939.07
603801.SH,20250819,5080.0,0.0,0.0,0.0,0.0,1032.12,10254.0,1325.44,13166.0,2614.85,25983.1,2399.69,23839.2,3039.82,30205.4,2961.67,29437.3,-560.73,-5606.18
002501.SZ,20250819,63849.0,10051.18,423085.0,5093.2,215576.0,17326.7,734833.4,16519.12,701187.0,20353.15,864284.2,21244.36,901665.0,15234.32,648103.0,20108.66,851877.6,11649.93,487324.0
600151.SH,20250819,26030.0,514.91,6469.0,363.05,4656.0,2945.69,37579.0,2595.15,33083.01,5513.71,70263.14,5431.08,69126.0,9062.29,115531.88,9647.32,122978.01,-2053.97,-26511.0
300810.SZ,20250819,52595.0,54092.77,84703.96,60587.27,94901.25,55145.36,85866.0,56469.54,87807.94,46552.1,72369.44,49304.31,76633.0,35086.37,54477.85,24515.48,38075.06,23979.59,38294.11
