TS_CODE,TRADE_DATE,UP_LIMIT,DOWN_LIMIT
000607.SZ,20250820,5.08,4.16
000608.SZ,20250820,1.96,1.78
000609.SZ,20250820,3.47,3.14
000610.SZ,20250820,14.22,11.64
000612.SZ,20250820,10.09,8.25
000615.SZ,20250820,3.42,3.1
000617.SZ,20250820,10.69,8.75
000619.SZ,20250820,7.05,5.77
000620.SZ,20250820,1.82,1.49
000623.SZ,20250820,21.87,17.89
000625.SZ,20250820,14.27,11.67
000626.SZ,20250820,7.82,6.4
000627.SZ,20250820,1.66,1.5
000628.SZ,20250820,62.98,51.53
000629.SZ,20250820,3.01,2.47
000630.SZ,20250820,4.52,3.7
000631.SZ,20250820,3.32,2.72
000632.SZ,20250820,4.47,3.65
000633.SZ,20250820,7.73,6.33
000635.SZ,20250820,10.03,8.21
000636.SZ,20250820,16.28,13.32
000637.SZ,20250820,4.65,3.81
000638.SZ,20250820,4.7,4.26
000639.SZ,20250820,3.61,2.95
000650.SZ,20250820,6.38,5.22
000651.SZ,20250820,51.77,42.35
000652.SZ,20250820,5.13,4.19
000655.SZ,20250820,9.63,7.88
000656.SZ,20250820,1.46,1.32
000657.SZ,20250820,21.01,17.19
000659.SZ,20250820,3.22,2.64
000661.SZ,20250820,113.45,92.83
000663.SZ,20250820,7.66,6.26
000665.SZ,20250820,6.5,5.32
000668.SZ,20250820,9.94,9.0
000669.SZ,20250820,3.34,3.02
000670.SZ,20250820,9.03,7.39
000672.SZ,20250820,9.97,8.15
000676.SZ,20250820,10.58,8.66
000677.SZ,20250820,6.2,5.08
000678.SZ,20250820,18.11,14.81
000679.SZ,20250820,11.15,9.13
000680.SZ,20250820,10.79,8.83
000681.SZ,20250820,23.69,19.39
000682.SZ,20250820,11.9,9.74
000683.SZ,20250820,6.34,5.18
000685.SZ,20250820,11.12,9.1
000686.SZ,20250820,9.55,7.81
000688.SZ,20250820,15.5,12.68
000690.SZ,20250820,5.25,4.29
000691.SZ,20250820,7.67,6.94
000692.SZ,20250820,4.02,3.29
000695.SZ,20250820,13.27,10.85
000697.SZ,20250820,8.74,7.9
000698.SZ,20250820,4.6,3.76
000700.SZ,20250820,10.41,8.51
000701.SZ,20250820,6.77,5.54
000702.SZ,20250820,8.8,7.2
000703.SZ,20250820,6.66,5.45
000705.SZ,20250820,10.52,8.6
000707.SZ,20250820,7.19,5.89
000708.SZ,20250820,13.81,11.3
000709.SZ,20250820,2.6,2.12
000710.SZ,20250820,16.06,13.14
000711.SZ,20250820,1.9,1.72
000712.SZ,20250820,16.8,13.74
000713.SZ,20250820,7.9,6.46
000715.SZ,20250820,6.79,5.55
000716.SZ,20250820,7.37,6.03
000717.SZ,20250820,3.11,2.55
000718.SZ,20250820,2.51,2.05
000719.SZ,20250820,14.34,11.74
000720.SZ,20250820,4.0,3.28
000721.SZ,20250820,9.85,8.06
000722.SZ,20250820,14.07,11.51
000723.SZ,20250820,5.19,4.25
000725.SZ,20250820,4.32,3.54
000726.SZ,20250820,7.99,6.53
000727.SZ,20250820,2.84,2.32
000728.SZ,20250820,9.91,8.11
000729.SZ,20250820,13.42,10.98
000731.SZ,20250820,7.92,6.48
000733.SZ,20250820,55.23,45.19
000735.SZ,20250820,7.01,5.73
000736.SZ,20250820,5.18,4.68
000737.SZ,20250820,12.49,10.22
000738.SZ,20250820,22.66,18.54
000739.SZ,20250820,17.93,14.67
000750.SZ,20250820,4.98,4.08
000751.SZ,20250820,3.73,3.05
000752.SZ,20250820,11.98,10.84
000753.SZ,20250820,6.58,5.38
000755.SZ,20250820,5.43,4.45
