ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
301076.SZ,20250819,58.16,24.7536,28.5011,181.7367,166.1802,8.8319,24.2479,23.5302,17488.12,10981.1552,9537.2868,1017109.0592,638663.9864,0
836957.BJ,20250819,16.1,4.0411,6.7433,86.6775,124.2316,4.4553,2.9422,2.8403,10730.1334,4270.4734,2559.2134,172755.1477,68754.6217,0
000786.SZ,20250819,26.68,1.4601,2.681,12.36,13.4053,1.7237,1.7457,1.7483,168950.7842,161677.3097,88050.9697,4507606.9225,4313550.6228,0
301665.SZ,20250819,30.25,7.538,7.538,51.1865,46.5478,4.1087,3.2133,3.0955,45000.0,3590.6289,3590.6289,1361250.0,108616.5242,0
301468.SZ,20250819,26.76,3.0929,3.808,50.8828,64.2561,1.5361,7.6738,7.9802,13200.0,7688.8729,6244.8586,353232.0,205754.2388,0
600467.SH,20250819,2.42,3.1388,5.1962,81.4139,83.0886,1.0398,2.4968,2.5296,146099.4304,146099.4304,88252.3314,353560.6216,353560.6216,0
603336.SH,20250819,9.17,6.2077,11.6107,285.7854,355.6273,4.6121,4.8426,4.7131,57039.9448,57039.9448,30496.4012,523056.2938,523056.2938,1
301595.SZ,20250819,45.33,22.415,22.415,56.0063,56.4317,5.5671,4.8139,4.733,10828.0,2309.9106,2309.9106,490833.24,104708.2475,0
300962.SZ,20250819,18.34,3.1335,8.6579,44.4722,46.1837,5.1744,13.5052,13.4299,26400.1897,26400.1897,9554.8386,484179.4791,484179.4791,0
001979.SZ,20250819,9.18,0.9059,2.3178,20.596,20.0351,0.8519,0.4648,0.4736,906083.6177,845782.0444,330583.6592,8317847.6105,7764279.1676,0
688472.SH,20250819,9.62,3.779,3.779,15.7878,20.6781,1.5725,0.7686,0.7858,368821.7324,139273.1603,139273.1603,3548065.0657,1339807.8021,0
603626.SH,20250819,11.46,29.4666,41.8476,,,2.9437,1.8801,1.9217,55487.969,55487.969,39071.3729,635892.1247,635892.1247,1
688283.SH,20250819,31.19,1.9586,3.9011,102.5803,114.1688,4.0464,16.7675,16.354,12180.0,12180.0,6115.2465,379894.2,379894.2,0
002635.SZ,20250819,14.29,3.3747,4.3374,35.9775,50.2127,1.6487,1.9657,1.9977,65968.6776,39539.7042,30763.7238,942692.4029,565022.373,0
002463.SZ,20250819,54.95,3.8103,5.5742,40.8575,37.2883,9.0285,7.9232,7.1448,192371.4885,192246.8044,131414.5821,10570813.2931,10563961.9018,0
603959.SH,20250819,5.58,3.8459,4.9081,,,25.2798,2.2484,2.1625,49029.8992,49029.8992,38419.3842,273586.8375,273586.8375,0
688361.SH,20250819,86.08,1.949,2.4104,,725.9076,10.9679,20.0544,17.1014,32159.1809,24829.1056,20076.3563,2768262.2919,2137289.41,0
