ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
002647.SZ,20250818,6196.0,126.06,2166.0,262.03,4491.35,2809.75,47968.0,4433.81,75752.1,4614.77,78810.0,3931.8,67133.37,3243.64,55434.0,2166.58,37001.18,-4917.65,-84213.36
600551.SH,20250818,12123.0,790.39,8466.86,1421.63,15217.0,4832.97,51880.35,4846.64,52009.18,8259.22,88569.99,8053.23,86362.55,7595.36,81450.71,7156.43,76779.18,1217.57,12943.83
002951.SZ,20250818,57671.0,1702.95,9059.0,8143.26,42923.0,10790.59,56748.0,14589.21,76909.12,22808.24,120234.7,22754.23,120014.96,31646.7,167192.0,21461.79,113386.62,-10812.0,-57109.86
002486.SZ,20250818,10947.0,520.89,18773.0,236.3,8500.0,907.71,32782.0,994.65,35926.0,1946.24,70302.0,1725.6,62337.19,2206.83,79771.0,2625.12,94864.81,469.87,16750.14
300873.SZ,20250818,20293.0,2716.93,10973.2,3534.44,14343.0,9415.71,38190.72,11096.31,45019.68,12612.91,51144.82,9088.62,36867.32,7863.45,31934.8,8889.63,36013.54,-5406.28,-21966.22
000536.SZ,20250818,60922.0,4229.14,85644.0,2253.86,45644.89,10040.72,203525.8,12429.08,251980.0,19082.89,386736.82,18401.54,372999.2,19886.81,403150.09,20155.07,408432.62,2485.51,49213.73
301311.SZ,20250818,20895.0,1146.56,5047.0,1391.14,6126.0,5994.54,26317.0,6039.52,26551.0,8891.87,39039.99,10511.06,46109.7,9614.52,42185.37,7705.76,33802.66,2525.01,11030.66
688255.SH,20250818,7108.0,574.02,1566.29,1926.55,5275.28,3162.46,8655.9,3083.19,8436.81,5168.96,14146.41,4502.79,12316.25,5721.45,15651.88,5114.36,13992.14,-846.59,-2321.44
688075.SH,20250818,2849.0,191.21,447.09,409.66,953.67,908.21,2121.21,1329.78,3114.12,2416.74,5642.0,1982.96,4630.32,2304.25,5385.23,2098.0,4897.42,656.22,1532.93
002953.SZ,20250818,16981.0,547.99,4898.0,363.86,3267.0,4011.48,35983.8,2381.91,21357.0,4355.86,39093.86,4492.4,40342.86,4482.94,40284.1,6160.12,55292.9,1958.3,17561.38
301510.SZ,20250818,31239.0,2689.1,7831.0,3426.44,10016.0,11117.33,32411.15,10984.87,32032.63,15462.32,45073.7,15987.06,46583.04,16278.16,47467.49,15148.53,44151.67,-4113.27,-12008.48
601279.SH,20250818,16118.0,0.0,0.0,197.07,4681.0,831.25,19715.87,744.74,17640.87,2392.12,56680.87,2640.45,62515.93,4870.04,115335.26,4511.16,106894.2,229.57,5266.0
002228.SZ,20250818,12782.0,141.46,4138.47,482.63,14153.31,3090.13,90950.49,1475.06,43387.96,2081.65,61257.79,2784.59,81987.76,2649.19,77972.52,3220.17,94790.24,1419.83,41697.19
301067.SZ,20250818,20648.0,1565.89,4021.0,1434.37,3710.0,6312.45,16212.4,8018.8,20615.4,12251.0,31508.0,12197.02,31350.4,12055.65,31001.11,10534.8,27066.71,-5237.36,-13465.71
000837.SZ,20250818,45470.0,4071.92,31322.0,8578.05,66061.41,11152.52,85840.17,13707.31,105485.99,17271.22,132933.16,15869.85,122132.99,19849.78,152794.99,14190.24,109209.93,-3540.07,-27473.2
001387.SZ,20250818,7044.0,37.01,253.0,0.0,0.0,1764.74,12090.0,1343.34,9215.0,2556.75,17535.1,2771.2,18996.89,2452.32,16818.9,2696.28,18485.11,-659.36,-4534.08
300418.SZ,20250818,146734.0,58479.62,157318.97,57443.89,154882.13,92378.63,248793.66,90429.88,243402.63,88619.42,238747.38,91961.93,247556.53,76530.27,205921.67,76172.24,204940.39,41356.79,111095.02
300912.SZ,20250818,9990.0,137.41,841.0,180.17,1108.0,737.77,4571.0,894.37,5532.0,2518.24,15560.0,2855.7,17654.0,3808.91,23551.99,3272.1,20229.99,-438.12,-2753.99
301052.SZ,20250818,20460.0,4332.58,6694.85,3758.09,5840.1,11147.48,17151.39,10052.82,15475.46,12158.19,18771.06,13774.81,21256.29,12466.75,19233.89,12519.28,19279.34,1183.42,1846.83
002908.SZ,20250818,46552.0,2358.33,20080.0,3194.44,27379.0,9223.32,78621.66,9648.88,82390.58,16847.64,143600.8,17953.64,153074.27,20388.23,173933.12,18020.55,153391.73,-2843.82,-24503.26
300867.SZ,20250818,7173.0,349.77,1930.0,863.25,4771.56,3111.4,17172.0,3326.06,18369.44,6057.27,33448.0,5834.51,32211.0,4370.65,24138.57,3865.28,21336.57,-3586.41,-19829.43
000426.SZ,20250818,48506.0,15129.82,73709.0,17014.77,83091.0,26432.72,129055.0,25742.45,125687.0,28387.45,138606.31,26290.19,128301.05,17568.78,85741.0,18471.36,90032.26,2837.77,13567.89
605567.SH,20250818,8372.0,0.0,0.0,0.0,0.0,649.63,6019.88,790.57,7326.86,2082.07,19289.94,1889.0,17499.8,3248.75,30092.92,3300.89,30576.08,-529.47,-4945.26
002287.SZ,20250818,27145.0,6632.1,23167.39,2576.89,9053.17,11403.21,39945.21,11779.46,41244.84,14193.57,49717.6,19786.98,69374.18,13192.86,46265.51,11278.39,39423.52,-1762.32,-6308.61
301331.SZ,20250818,4235.0,680.32,1929.0,108.31,305.0,1108.59,3135.0,1338.45,3790.0,1726.05,4888.4,2110.34,5976.68,2153.77,6102.84,2111.64,5983.56,-479.85,-1363.8
688323.SH,20250818,7242.0,138.1,789.12,124.18,722.79,1065.24,6159.54,1182.69,6833.51,1830.53,10579.24,2197.27,12692.89,3573.23,20659.89,3102.96,17938.6,333.57,1931.51
603928.SH,20250818,27194.0,379.59,2359.0,216.02,1344.0,2574.03,16006.0,2642.13,16435.0,7781.78,48417.0,7857.14,48881.8,13250.48,82470.3,13270.59,82591.5,-5030.19,-31367.7
301335.SZ,20250818,12537.0,974.14,3006.0,575.85,1786.0,3897.52,12026.76,4622.65,14290.53,6776.4,20947.04,7401.94,22886.86,6900.97,21354.62,5948.6,18371.03,4281.61,13213.68
300345.SZ,20250818,15003.0,243.23,3151.0,683.31,8908.0,3293.56,42842.0,3724.95,48442.0,4788.07,62284.0,4207.69,54719.0,4371.59,56858.0,4080.51,53066.0,306.13,3837.0
300571.SZ,20250818,20869.0,2665.8,8016.0,1711.3,5137.0,9015.65,27066.0,10384.51,31198.0,11113.5,33344.0,12275.81,36837.0,11039.9,33121.0,9463.23,28375.0,1780.84,5317.0
603399.SH,20250818,32899.0,783.99,7273.0,627.27,5867.0,4919.97,45854.2,5698.78,53053.2,9646.02,89802.21,9930.01,92425.59,16486.84,153510.2,15580.77,145093.82,-3185.48,-29944.13
688432.SH,20250818,16757.0,334.2,2689.03,790.9,6353.61,3304.03,26640.27,3525.32,28417.02,6395.56,51589.38,6258.12,50483.21,8909.85,71896.0,8369.3,67560.84,1119.15,8916.36
603083.SH,20250818,103823.0,54001.26,92735.77,47694.95,82016.67,69192.96,119498.27,69328.19,119504.11,83936.3,145267.72,88265.88,152629.07,79739.49,138261.8,81580.99,141613.71,32054.8,55205.84
000786.SZ,20250818,26307.0,6461.24,24065.0,3595.05,13404.0,9534.43,35511.08,10595.74,39482.67,14216.01,52973.0,15201.4,56619.17,14718.39,54831.74,15537.88,57874.98,-7502.96,-28039.62
000663.SZ,20250818,8514.0,283.98,4136.0,332.72,4818.0,1355.66,19651.0,946.91,13745.0,2022.89,29308.0,1830.21,26521.99,1893.17,27441.75,2445.86,35451.76,-333.73,-4913.33
300840.SZ,20250818,37375.0,6139.81,26482.0,6853.4,29676.0,12210.6,52668.0,15358.93,66330.0,17377.24,75039.0,18576.8,80119.0,17010.26,73433.01,11948.79,51497.01,4583.29,19807.99
301337.SZ,20250818,8777.0,311.23,1022.0,1005.7,3299.0,973.02,3188.0,720.16,2366.0,2439.73,7995.0,2064.3,6765.26,4250.36,13935.0,4184.17,13709.74,1882.77,6166.0
688597.SH,20250818,10193.0,0.0,0.0,0.0,0.0,630.86,7387.78,1336.11,15670.92,1772.46,20773.52,2385.15,27923.67,6246.52,73128.51,4928.59,57695.22,1496.9,17528.85
