ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000045.SH,20250815,5211.6189,5085.7323,5213.2719,5085.7323,5095.8729,115.746,2.2714,172947034.0,240508262.383,2025-08-15 17:53:38
000046.SH,20250815,4730.1118,4654.9224,4736.3435,4654.9224,4665.5973,64.5145,1.3828,273961936.0,389422048.689,2025-08-15 17:53:38
000047.SH,20250815,3656.3699,3618.002,3667.5557,3614.2692,3626.8917,29.4782,0.8128,345079713.0,531627504.055,2025-08-15 17:53:38
000048.SH,20250815,1438.334,1436.6872,1445.4678,1431.0497,1438.4418,-0.1078,-0.0075,41183349.0,74015906.022,2025-08-15 17:53:38
000049.SH,20250815,1735.8429,1704.4632,1740.3005,1704.4632,1713.9886,21.8543,1.2751,28751044.0,74465000.588,2025-08-15 17:53:38
000050.SH,20250815,2219.5309,2204.3072,2229.5462,2198.3141,2211.1341,8.3968,0.3798,71117777.0,142205455.366,2025-08-15 17:53:38
000051.SH,20250815,8656.4721,8563.3923,8682.3509,8554.0757,8584.5754,71.8967,0.8375,172132678.0,291119241.672,2025-08-15 17:53:38
000052.SH,20250815,2915.1987,2917.9215,2931.0333,2899.6874,2921.0693,-5.8706,-0.201,71117777.0,142205455.366,2025-08-15 17:53:38
000053.SH,20250815,12251.1444,12239.5833,12299.9423,12185.5453,12255.1571,-4.0127,-0.0327,172132678.0,291119241.672,2025-08-15 17:53:38
000054.SH,20250815,1497.8161,1491.0265,1506.7507,1484.6518,1494.6621,3.154,0.211,90224286.0,120812385.352,2025-08-15 17:53:38
000055.SH,20250815,1495.6282,1486.1027,1503.7855,1481.9219,1490.723,4.9052,0.329,70032758.0,99065505.881,2025-08-15 17:53:38
000056.SH,20250815,1168.7933,1163.0292,1174.3001,1158.8776,1164.9949,3.7984,0.326,85642153.0,129533576.304,2025-08-15 17:53:38
000057.SH,20250815,3480.4422,3438.7952,3494.1521,3435.7563,3450.2287,30.2135,0.8757,59231399.0,141827954.405,2025-08-15 17:53:38
000058.SH,20250815,4622.4228,4615.078,4640.385,4587.9368,4619.1468,3.276,0.0709,147026703.0,148318067.658,2025-08-15 17:53:38
000059.SH,20250815,2967.7362,2921.6061,2975.7001,2921.6061,2932.4458,35.2904,1.2034,215918356.0,406049105.297,2025-08-15 17:53:38
000060.SH,20250815,4304.0575,4277.5343,4318.6118,4267.281,4283.4912,20.5663,0.4801,303713659.0,412539218.55,2025-08-15 17:53:38
000062.SH,20250815,2033.5139,2014.3414,2045.263,2010.7537,2017.4666,16.0473,0.7954,36651193.0,57761407.134,2025-08-15 17:53:38
000063.SH,20250815,3793.5562,3785.7967,3816.3157,3763.877,3793.9692,-0.413,-0.0109,86550504.0,117043735.912,2025-08-15 17:53:38
000064.SH,20250815,3306.9014,3273.8324,3316.4579,3273.5743,3284.782,22.1194,0.6734,65612713.0,166380590.385,2025-08-15 17:53:38
000065.SH,20250815,3439.0629,3399.5309,3450.8296,3397.8417,3402.11,36.9529,1.0862,99611998.0,167911562.601,2025-08-15 17:53:38
000066.SH,20250815,2935.1823,2866.169,2943.8647,2866.169,2874.8552,60.3271,2.0984,43373707.0,54371794.048,2025-08-15 17:53:38
000067.SH,20250815,7594.9564,7448.2644,7618.8788,7448.2644,7480.0989,114.8575,1.5355,32386235.0,111889289.769,2025-08-15 17:53:38
000068.SH,20250815,3173.4551,3108.6047,3186.5381,3108.6047,3121.225,52.2301,1.6734,31675128.0,49566912.09,2025-08-15 17:53:38
000069.SH,20250815,4973.0132,4931.922,4992.6812,4926.9248,4938.7211,34.2921,0.6944,22797733.0,67503908.573,2025-08-15 17:53:38
000070.SH,20250815,2645.3774,2622.8243,2647.5622,2622.8243,2623.9319,21.4455,0.8173,11626908.0,8491961.172,2025-08-15 17:53:38
000071.SH,20250815,3747.4437,3632.242,3759.8256,3632.242,3646.2638,101.1799,2.7749,44018115.0,59420382.252,2025-08-15 17:53:38
000072.SH,20250815,2815.6164,2785.304,2820.5325,2782.4939,2789.0285,26.5879,0.9533,42739005.0,43354852.594,2025-08-15 17:53:38
000073.SH,20250815,3288.9967,3232.6404,3293.0902,3232.4939,3233.251,55.7457,1.7241,18686963.0,31383271.134,2025-08-15 17:53:38
