ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
688201.SH,20250820,9542.0,138.59,1141.66,210.13,1718.21,1725.29,14170.8,1747.47,14347.4,3497.47,28740.72,3421.06,28107.4,4287.79,35210.23,4270.49,35090.4,-1037.37,-8603.07
002120.SZ,20250820,65339.0,18071.39,203007.0,10409.58,117862.05,23405.07,263507.44,22890.63,257900.95,30921.04,348137.01,31927.42,358919.74,20473.84,230818.86,27643.72,310787.57,8358.85,92923.75
605108.SH,20250820,16550.0,122.38,583.0,850.11,4108.3,3683.06,17830.1,3114.83,15152.75,7087.25,34362.95,6764.26,32773.1,9754.18,47284.89,9917.67,48026.79,682.76,3399.66
603730.SH,20250820,27232.0,661.03,11034.7,521.14,8646.68,4647.51,77075.5,4026.34,66850.46,7661.9,127348.0,9151.36,152096.54,11122.75,185018.76,10394.36,172883.28,3417.12,56676.76
300468.SZ,20250820,136883.0,42531.49,93786.75,55645.62,123175.96,99350.02,218653.87,106038.73,233893.68,121929.59,268897.95,118225.84,260453.23,77888.83,172104.85,61789.74,135920.55,3512.92,6655.7
002218.SZ,20250820,23798.0,931.39,25061.0,1970.67,52925.0,2453.24,65836.0,3139.35,84449.0,5540.46,148839.0,4848.93,130291.0,7032.07,189138.0,5998.2,161209.0,-586.37,-16646.0
301328.SZ,20250820,9984.0,0.0,0.0,709.13,1451.0,4394.7,8938.36,3541.0,7208.0,5407.99,11004.27,5456.8,11103.07,5642.71,11488.29,5738.48,11668.85,789.59,1599.58
300345.SZ,20250820,54770.0,29623.11,306999.58,38765.26,420664.68,27339.58,297982.3,36655.56,393988.1,33815.02,373202.8,22040.55,238276.86,22812.58,252598.06,16128.92,177853.1,-34244.49,-348288.46
300418.SZ,20250820,91966.0,25156.75,68001.44,20761.94,56336.99,42959.15,116367.56,43141.03,117018.13,48303.49,130999.62,49179.66,133260.95,46401.42,126015.56,49738.16,134768.11,-1515.55,-4745.66
603355.SH,20250820,7604.0,0.0,0.0,30.74,125.0,418.3,1716.0,896.86,3679.0,1603.67,6577.0,1767.73,7240.6,3774.13,15467.32,3100.78,12715.72,519.55,2109.12
