ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
600230.SH,20250815,12.98,2.0282,3.7568,193.7093,345.0717,1.3482,1.0596,1.1013,41396.1015,41396.1015,22349.3591,537321.3975,537321.3975,0
301552.SZ,20250815,41.52,6.3933,6.3933,26.3111,26.1618,3.5493,6.4617,6.2293,9520.0,2380.0,2380.0,395270.4,98817.6,0
688528.SH,20250815,11.67,1.1997,4.2111,,,3.8024,6.1168,7.1205,16800.0,16800.0,4786.2051,196056.0,196056.0,0
605028.SH,20250815,20.24,1.8682,7.4727,18.8581,18.9889,2.5286,9.016,9.4055,16000.0,16000.0,4000.0,323840.0,323840.0,0
600237.SH,20250815,7.72,3.6347,4.7579,50.8597,49.2998,2.6111,3.7802,3.6329,63070.9155,62167.6155,47491.8898,486907.4677,479933.9917,0
002465.SZ,20250815,13.8,3.6209,4.9829,644.5616,,2.7488,6.9617,7.5146,248183.3948,247788.7109,180057.4224,3424930.8482,3419484.2104,0
300732.SZ,20250815,10.81,10.4903,20.1606,,,1.3791,2.3361,2.2866,32431.5368,32390.4885,16853.944,350584.9128,350141.1807,0
002428.SZ,20250815,23.26,5.9474,7.435,286.1176,203.1223,10.4913,19.7961,17.3251,65312.0,65303.5625,52237.7225,1519157.12,1518960.8638,0
600007.SH,20250815,20.64,0.2559,1.3222,16.469,16.8026,2.3474,5.3144,5.3586,100728.2534,100728.2534,19492.2293,2079031.1502,2079031.1502,0
688701.SH,20250815,9.8,2.5724,5.1318,,,6.5771,5.4267,6.31,13427.7372,13427.7372,6730.7755,131591.8246,131591.8246,0
000756.SZ,20250815,16.44,2.2433,4.4087,24.1263,25.7585,2.2757,1.3394,1.3466,68977.6535,49262.3924,25066.7844,1133992.6235,809873.7311,0
688118.SH,20250815,31.57,5.2081,6.747,442.7758,158.4806,3.5472,6.9044,7.3118,9181.7613,9181.7613,7087.4804,289868.2042,289868.2042,0
300068.SZ,20250815,17.68,16.6021,19.1846,,,4.1508,1.989,2.5755,89819.0679,85300.3114,73817.6623,1588001.1205,1508109.5056,0
832491.BJ,20250815,29.4,5.8915,6.3411,47.3401,45.9619,4.1942,6.7237,6.386,14114.318,11557.5071,10738.0269,414960.9492,339790.7087,0
603829.SH,20250815,19.01,2.9896,11.8305,24.1077,22.4094,2.8863,1.4271,1.4057,16000.8269,16000.8269,4043.4569,304175.7194,304175.7194,0
002646.SZ,20250815,9.92,1.2254,2.1096,113.4788,3682.9821,1.6614,3.8104,4.1206,48200.2974,47592.9624,27644.6584,478146.9502,472122.187,0
003025.SZ,20250815,14.64,2.2961,4.058,22.8688,22.2488,3.5676,6.6629,6.502,28395.3558,23849.8831,13494.9255,415708.0089,349162.2886,0
300552.SZ,20250815,27.69,2.8098,3.5762,,,3.1715,6.3445,6.1424,21313.3112,13339.6226,10480.9463,590165.5871,369374.1498,0
300801.SZ,20250815,25.03,19.767,30.3783,45.3421,51.0237,2.2456,2.3182,2.1945,21843.0,13687.9425,8906.6675,546730.29,342609.2008,0
601369.SH,20250815,8.81,0.7717,2.0268,14.5776,14.3969,1.7567,1.4774,1.4679,172347.4492,170579.5987,64950.7364,1518381.0275,1502806.2645,0
002518.SZ,20250815,28.82,6.5361,16.5169,42.5661,44.0119,3.8809,4.0346,3.9285,58222.5094,56519.7914,22366.1816,1677972.7209,1628900.3881,1
600597.SH,20250815,8.57,1.0219,2.1131,16.3612,17.1023,1.2483,0.4866,0.4876,137847.3763,137845.5363,66659.4767,1181352.0149,1181336.2461,0
