TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
399310.SZ,20250815,6710.3923,6715.749,7011.1686,6711.956,6982.4098,24054310077.0,811603538720.0,272.0175,0.040537
000017.SH,20250815,3072.1845,3073.82,3131.1106,3067.5353,3124.3392,297202739200.0,4261848403795.0,52.1547,0.016976
000901.SH,20250815,6134.9355,6150.5909,6173.763,6095.7143,6122.5255,43675232400.0,504475469455.0,-12.41,-0.002023
399901.SZ,20250815,6134.9355,6150.5909,6173.763,6095.7143,6122.5255,43675232400.0,504475469455.0,-12.41,-0.002023
CN2324,20250815,15334.6092,15338.9464,15597.2046,15286.3652,15492.4539,7701695292.0,145216346277.97,157.8447,0.010293
CN2326,20250815,6124.7851,6156.1389,6487.1605,6143.6685,6472.0733,6151603498.0,237669092054.66,347.2882,0.056702
CN2328,20250815,14606.903,14607.8756,15219.3751,14607.8756,15191.1722,6511587412.0,278540913879.3,584.2692,0.04
399100.SZ,20250815,10401.3733,10421.7102,10785.0201,10421.7102,10784.0357,377723931447.0,5990987414120.0,382.6624,0.03679
399330.SZ,20250815,4793.2378,4803.2961,5032.9994,4803.2961,5023.2627,30972415015.0,933185218794.0,230.0249,0.047989
399324.SZ,20250815,8778.2349,8780.7177,8928.58,8750.4683,8868.5925,7701695292.0,145216346278.0,90.3576,0.010293
399326.SZ,20250815,4537.3652,4560.5927,4804.9899,4551.3544,4793.8149,6151603498.0,237669092054.7,256.4497,0.05652
399328.SZ,20250815,9009.937,9010.5369,9386.3005,9010.5369,9368.9068,6511587412.0,278540913879.3,358.9698,0.039842
000902.SH,20250815,5587.1193,5595.5112,5756.1858,5595.5112,5750.0452,678725021143.0,10313656248820.0,162.9259,0.029161
399903.SZ,20250815,3886.805,3894.5161,3996.4684,3886.2995,3970.6881,45306821900.0,1104903451225.0,83.8831,0.021582
000903.SH,20250815,3886.805,3894.5161,3996.4684,3886.2995,3970.6881,45306821900.0,1104903451225.0,83.8831,0.021582
000904.SH,20250815,4816.3204,4829.3527,4948.1226,4825.7457,4940.5126,57427935137.0,1055926080174.0,124.1922,0.025786
